db_lden,mean,sum,nan,zeros,n
45,0.012021857923497269,4.4,0,127,366
46,0.01095890410958904,3.9999999999999996,0,136,365
47,0.006451612903225805,1.9999999999999996,0,107,310
48,0.009523809523809525,3.0000000000000004,0,126,315
49,0.01081081081081081,2.8,0,100,259
50,0.016470588235294115,4.199999999999999,0,88,255
51,0.012903225806451613,2.8,0,70,217
52,0.00676328502415459,1.4000000000000001,0,70,207
53,0.015062761506276152,3.6000000000000005,0,67,239
54,0.006965174129353232,1.3999999999999997,0,44,201
55,0.007017543859649124,1.2000000000000002,0,33,171
56,0.01212121212121212,1.5999999999999999,0,24,132
57,0.003669724770642201,0.3999999999999999,0,18,109
58,0.0044943820224719105,0.4,0,6,89
59,0.012658227848101266,1.0,0,6,79
60,0.02972972972972973,2.2,0,6,74
61,0.020588235294117647,1.4,0,5,68
62,0.022580645161290318,1.3999999999999997,0,4,62
63,0.02307692307692308,1.2000000000000002,0,2,52
64,0.01818181818181818,0.7999999999999999,0,1,44
65,0.020000000000000004,0.8000000000000002,0,0,40
66,0.025806451612903222,0.7999999999999999,0,0,31
67,0.007407407407407408,0.2,0,0,27
68,0.0,0.0,0,19,19
69,0.0,0.0,0,20,20
70,0.0,0.0,0,20,20
71,0.0,0.0,0,24,24
72,0.0,0.0,0,24,24
73,0.0,0.0,0,24,24
74,0.0,0.0,0,18,18
75,0.0,0.0,0,16,16
