NISCode	sum_ParcelsNumber	avg_PriceP25	avg_PriceP50	avg_PriceP75	avg_ParcelsAreaP50	average_price_m2
11002K1WN						
12026B09-						
21002A572						
21004F994						
21012A833	10					
23050A081						
24043A1MA						
33021E10-						
37011B08-						
41018H01-						
46003A291						
57081R08-						
62011E01-	2					
62038A20-	2					
64021A099	40					
71053K091						
72003A091						
85009E29-						
92045B081						
11001A00-	97	207750	235875	265500		
11001A01-	45	191500	212250	275050		
11001A020	5	245000	245000	245000		
11001A030	10	210000	262500	277500		
11001A042						
11001A052	70	205625	234950	262125		
11001A063	37	217500	235500	284000		
11001A074						
11001A091	3					
11001A0MA						
11001A0PA						
11001A10-	11	255100	440050	625000		
11001A173	11	216500	222000	247500		
11001A190	1					
11001A20-						
11001A21-	44	203750	237250	255000		
1100212MQ						
11002A00-	258	166083.33333333334	208583.33333333334	323347		
11002A01-	195	192500	224440.5	286500		
11002A02-	57	239250	281000	417250		
11002A03-	83	212500	249250	381000		
11002A04-	91	260000	317500	380000		
11002A05-	100	165000	226250	280750		
11002A081						
11002A10-	280	191666.66666666666	295000	386666.6666666667		
11002A11-	283	151287.5	226700	288500		
11002A12-	212	232083.33333333334	260591.66666666666	338166.6666666667		
11002A13-	271	205388.75	237270.25	293164.5		
11002A14-	146	215625	300000	362250		
11002A15-	267	178333.33333333334	214000	273166.6666666667		
11002A21-	129	226000	274000	320000		
11002A22-	135	200750	298000	412250		
11002B701	53	178000	205625	237250		
11002B71-	103	205000	250500	280000		
11002B721	171	217500	250875	316125		
11002B73-						
11002B742	103	80875	178125	212500		
11002B752	34	160000	230000	279000		
11002B782						
11002B791	6	330000	346000	450000		
11002B813	357	171500	232500	301400		
11002B824	2					
11002C20-	178	129976.25	189250	289700		
11002C21-	247	113937.5	174875	219251.25		
11002C22-	88	134375	188250	239000		
11002C23-	197	141000	184000	228750		
11002C24-	198	176000	223000	279300		
11002C25-	328	181666.66666666666	251333.33333333334	310833.3333333333		
11002C28-						
11002C29-						
11002C31-	116	278055.75	367500	437500		
11002C41-	90	197250	218500	238750		
11002C42-	51	112250	166250	195750		
11002C43-	53	195500	227500	257750		
11002C44-	57	132500	173000	220000		
11002C45-	54	145000	200807.1525	235000		
11002C491						
11002D30-	330	126666.66666666667	227000	337333.3333333333		
11002D31-	109	177500	239375	323750		
11002D32-	323	172500	236775	324562.5		
11002D33-	188	151666.66666666666	239500	395666.6666666667		
11002D34-	233	192500	263325	334750		
11002D35-	41	225000	250000	285500		
11002D38-						
11002D41-	239	110833.33333333333	151733.33333333334	234166.66666666666		
11002D42-	163	176850	256125	313076.25		
11002E122	99	228250	303750	371500		
11002E131	143	232350	398750	554250		
11002E14-	458	186666.66666666666	251666.66666666666	350000		
11002E15-	143	208000	277500	350000		
11002E19-						
11002E50-	374	192333.33333333334	238666.66666666666	279500		
11002E521	134	216250	245500	304500		
11002E53-	177	188000	221375	279000		
11002E551	293	146250	237250	301015		
11002E5MJ	555	180000	219250	238750		
11002F11-	24	338750	338750	338750		
11002F12-	8	100000	141000	164000		
11002F21-	299	217500	259475	291450		
11002F223						
11002F60-	35	162500	194750	269500		
11002F61-	53	139500	174500	186000		
11002F62-	15	139000	146205	161000		
11002F64-	3					
11002F65-	106	165500	194125	221000		
11002F6MJ						
11002F6NJ						
11002G51-	124	237500	290875	387250		
11002G522	33	301250	408750	517500		
11002G53-	300	147500	272750	355000		
11002G54-	312	140203	236416.66666666666	324590.6666666667		
11002G552	48	272250	287250	319750		
11002G59-	8	247500	327000	404500		
11002G72-	104	201250	232375	262500		
11002G73-	105	118500	134500	149000		
11002G74-	21	45000	240000	312000		
11002G75-	2					
11002G780	3					
11002H40-	63	150750	180875	212030.25		
11002H41-	63	137000	165190	199000		
11002H43-	178	173500	202500	247500		
11002H44-	33	166500	196584.5	233595		
11002H4MJ						
11002H83-	260	169966.60749999998	190560.35749999998	215067.065		
11002H84-	90	174333.33333333334	183583.33333333334	212666.66666666666		
11002H8MJ	193	235000	252000	314000		
11002J072	306	102500	145571	192500		
11002J80-	20	161250	177500	182500		
11002J820	109	149800	229375	301000		
11002J83-	93	115000	170166.66666666666	224666.66666666666		
11002J84-	103	291500	397500	775000		
11002J85-	439	135666.66666666666	187333.33333333334	244666.66666666666		
11002J873						
11002J8AN	9	180000	226000	340000		
11002K171	7	405000	571047	737094		
11002K172						
11002K173						
11002K175						
11002K1NP						
11002K214	2					
11002K271						
11002K272						
11002K2MN						
11002L000	11	246500	266500	309975		
11002L011	4					
11002L022						
11002L070						
11002L090						
11002L100	20	23500	260000	425000		
11002L111	4					
11002L122						
11002L17-						
11002L18-						
11002M0MA						
11002M0QA						
11002M0RA						
11002P00-	40	196875	220625	239750		
11002P01-	44	187500	211875	244500		
11002P02-	32	146500	185250	212312.5		
11002P03-	59	177250	206500	220000		
11002P04-	66	213000	233375	255375		
11002P05-	1					
11002P09-						
11002P100	35	170000	228000	247500		
11002P111	19	185000	194750	228355.5		
11002P12-	11	212500	217500	237000		
11002P192						
11002P20-	36	133625	141500	146000		
11002P22-	1					
11002P23-	63	202625	216875	260875		
11002P242	1					
11002P2AN						
11002P2AP	15	302187.5	322500	385000		
11002P392						
11002P500	13	25000	162500	270000		
11002P589						
11002P590	3					
11002P6AK						
11002P6BK						
11002P6CK	3					
11002P6DK	65	192500	210000	225500		
11002P6EK	2					
11002P6FK						
11002P6PK						
11002Q001	93	134500	175500	193750		
11002Q012	85	132500	177000	222500		
11002Q021	37	130925	151962.5	184000.5		
11002Q03-	137	186500	202500	228750		
11002Q04-	66	149625	172500	195875		
11002Q052	5					
11002Q072	2					
11002Q091						
11002Q10-	112	157250	187125	209750		
11002Q11-	19	197750	216250	260000		
11002Q12-	82	163750	192500	209745		
11002Q13-	169	146000	179500	215000		
11002Q14-	39	177000	191000	221250		
11002Q17-	1					
11002Q201	385	160333.33333333334	178166.66666666666	196333.33333333334		
11002Q212	150	162500	208500	228000		
11002Q222	7	210000	220000	230000		
11002Q233	78	181750	206250	228750		
11002Q241						
11002Q242	81	177500	198625	220000		
11002Q2AA	5	214500	257000	258000		
11002Q2PP						
11002Q30-						
11002Q39-						
11002Q49-						
