bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_omgevingsloket_2026;Totalen;;Totalen;;Aantal projecten;14597.0
vergunningen_omgevingsloket_2026;Totalen;;Totalen;;Aantal gebouwen;12689.0
vergunningen_omgevingsloket_2026;Totalen;;Totalen;;Aantal wooneenheden;14651.0
vergunningen_omgevingsloket_2026;Totalen;;Totalen;;Nuttige woonoppervlakte;2970567.27
vergunningen_omgevingsloket_2026;Totalen;;Totalen;;Bovengronds nuttige oppervlakte;5801978.89
vergunningen_omgevingsloket_2026;Totalen;;Totalen;;Bovengronds grond oppervlakte;3494779.71
vergunningen_omgevingsloket_2026;Totalen;;-;Totalen;Aantal projecten;5663.0
vergunningen_omgevingsloket_2026;Totalen;;-;Totalen;Aantal gebouwen;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;-;Aantal projecten;5663.0
vergunningen_omgevingsloket_2026;Totalen;;-;-;Aantal gebouwen;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;Totalen;Aantal projecten;3242.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;Totalen;Aantal gebouwen;4609.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;Totalen;Aantal wooneenheden;7387.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;Totalen;Nuttige woonoppervlakte;1234226.38
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;Totalen;Bovengronds nuttige oppervlakte;2832605.27
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;Totalen;Bovengronds grond oppervlakte;1590505.06
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;-;Aantal projecten;48.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;-;Aantal gebouwen;76.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;-;Aantal wooneenheden;0.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;-;Nuttige woonoppervlakte;0.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;-;Bovengronds nuttige oppervlakte;127161.54
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;-;Bovengronds grond oppervlakte;107196.35
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;andere;Aantal projecten;496.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;andere;Aantal gebouwen;681.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;andere;Aantal wooneenheden;1230.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;andere;Nuttige woonoppervlakte;127710.92
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;andere;Bovengronds nuttige oppervlakte;1570180.33
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;andere;Bovengronds grond oppervlakte;863420.52
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;eengezinswoning;Aantal projecten;2522.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;eengezinswoning;Aantal gebouwen;3525.0
vergunningen_omgevingsloket_2026;Totalen;;Nieuwbouw;eengezinswoning;Aantal wooneenheden;3522.0
