NISCode	terrain_non_batissable_sum_ParcelsNumber	terrain_non_batissable_avg_PriceP25	terrain_non_batissable_avg_PriceP50	terrain_non_batissable_avg_PriceP75	terrain_non_batissable_avg_ParcelsAreaP50	terrain_batissable_sum_ParcelsNumber	terrain_batissable_avg_PriceP25	terrain_batissable_avg_PriceP50	terrain_batissable_avg_PriceP75	terrain_batissable_avg_ParcelsAreaP50	autres_parcelles_non_baties_sum_ParcelsNumber	autres_parcelles_non_baties_avg_PriceP25	autres_parcelles_non_baties_avg_PriceP50	autres_parcelles_non_baties_avg_PriceP75	autres_parcelles_non_baties_avg_ParcelsAreaP50	toutes_parcelles_non_baties_sum_ParcelsNumber	toutes_parcelles_non_baties_avg_PriceP25	toutes_parcelles_non_baties_avg_PriceP50	toutes_parcelles_non_baties_avg_PriceP75	toutes_parcelles_non_baties_avg_ParcelsAreaP50	terrain_non_batissable_average_price_m2	terrain_batissable_average_price_m2	autres_parcelles_non_baties_average_price_m2	toutes_parcelles_non_baties_average_price_m2
11024A111																								
13011B074																								
21016A639																								
23032A190																								
23044A1MJ																								
23096D091																								
25107E091																								
41081F08-																								
44081B08-																								
46013A08-																								
56086A191																								
62120A231																								
63045A49-																								
63067E212																								
71004C110																								
71022A682																								
72020A081																								
83034B023																								
84035A29-																								
91030H012																								
91120D00-																								
92045A020																								
92087A384																								
92142A632																								
13049B124																								
11016A592																								
12014B091																								
12025A32-																								
13011A212																								
13046A091																								
23086B182																								
23101A04-																								
24009C032																								
24107F00-																								
25037A091																								
25107A01-																								
31040B192																								
45059A112																								
46025A053																								
51004P11-																								
52011K0MX																								
56016D08-																								
61019A400																								
62009B100																								
62100D00-																								
62119B112																								
62120D192																								
63023A081																								
63038B482																								
63049B28-																								
71017K09-																								
71022D412																								
71070B042																								
72021A173																								
83031D10-																								
91030B08-																								
11002B782																								
11002B791																								
12040D192																								
24062A34-																								
24130C19-																								
25014A823																								
44052C21-																								
45061A01-																								
46020E195																								
52015C080																								
53070C032																								
57094F01-																								
61031B084																								
71016A0MA																								
71020A29-																								
72020A052																								
72040B10-																								
73107D112																								
81015D012																								
82037A50-																								
84010F19-																								
11002D30-																								
11029A372																								
11001A00-	1				30	2				468						3				249				
11002D31-																								
11002D32-																								
11002D33-																								
11004A19-																								
13003A02-	1				2912											1				2912				
23025A291																								
23045C091																								
21001A34-																								
11002D34-						1				122						1				122				
11002D35-																								
11002D38-																								
11002D41-																								
24062C40-																								
21001A350																								
21001A37-																								
21001A3MJ																								
11002D42-	2				93											2				93				
11002E122																								
21001A401																								
34002D09-																								
35005B011																								
21001A41-																								
21001A42-																								
41002H190																								
21004A3MJ																								
44001A081																								
11002E131						2				186.5						2				186.5				
44021A02-																								
11002E14-	1				37	1				218						2				127.5				
11002E15-																								
45065M08-																								
11002E19-																								
11002E50-																								
46020D133																								
11002E521																								
52022A33-																								
11002E53-																								
11002E551	4				27											4				27				
11002E5MJ																								
55022A11-																								
11002F11-																								
56087B10-																								
11002F12-																								
11002F21-																								
11002F223																								
11002F60-						1				449						1				449				
11002F61-																								
62060F020																								
62079D091																								
11002F62-																								
11002F64-																								
63089B00-																								
64034A04-																								
11002F65-						1				178						1				178				
11002F6MJ																								
11002F6NJ																								
72020A884																								
11001A01-	1				722	9	165000	250000	460000	310						10	165000	250000	460000	516		806.451612903226		484.496124031008
72041D01-																								
81001A312																								
11002G51-																								
11002G522																								
82036C190																								
84050A082																								
11002R24-																								
11004A18-																								
