id_inter_ss_lden;surface intersection between statistical sectors and lden noise contour;Surface of the polygone in lnight 45;Percentage of the surface of the polygone in lnight 45;Surface of the polygone in NA70;Percentage of the surface of the polygone in NA70
1;31910,92283;0;0;0;0
2;483352,7067;0;0;0;0
3;122865,8308;0;0;0;0
4;100272,4763;0;0;0;0
5;103160,8595;0;0;0;0
6;38840,96474;0;0;0;0
7;153253,8559;0;0;0;0
8;193434,8209;0;0;0;0
9;177258,6458;0;0;0;0
10;157573,098;0;0;0;0
11;278592,546;0;0;0;0
12;514878,6872;0;0;0;0
13;527331,2928;0;0;0;0
14;297225,0108;0;0;0;0
15;862964,716;0;0;0;0
16;239757,3192;0;0;0;0
17;35452,58111;0;0;0;0
18;35341,56517;0;0;0;0
19;52724,60724;0;0;0;0
20;78649,6346;0;0;0;0
21;61270,59209;0;0;0;0
22;198123,6918;0;0;0;0
23;177297,276;0;0;0;0
24;257320,9241;0;0;0;0
25;295439,266;0;0;0;0
26;188233,7146;0;0;0;0
27;217701,5828;0;0;0;0
28;434075,5136;0;0;0;0
29;45583,09843;0;0;0;0
30;50118,60272;0;0;0;0
31;100460,0953;0;0;0;0
32;103163,5148;0;0;0;0
33;21984,75744;0;0;0;0
34;178846,0388;0;0;0;0
35;24760,73136;0;0;0;0
36;13994,19238;0;0;0;0
37;108939,5401;0;0;0;0
38;61092,4433;0;0;0;0
39;95963,54877;0;0;0;0
40;154878,7778;0;0;0;0
41;98684,55625;0;0;0;0
42;4675,429718;0;0;0;0
43;80051,93195;0;0;0;0
44;113083,4108;0;0;0;0
45;42530,65851;0;0;0;0
46;112193,0624;0;0;0;0
47;15612,43011;0;0;0;0
48;76156,15073;0;0;0;0
49;88276,10326;0;0;0;0
50;1422,088718;0;0;0;0
51;19151,62393;0;0;0;0
52;94671,4504;0;0;0;0
53;160582,8513;0;0;0;0
54;45304,1889;0;0;0;0
55;84261,81188;0;0;0;0
56;57760,2238;0;0;0;0
57;137559,409;0;0;0;0
58;44966,21051;0;0;0;0
59;78258,52874;0;0;0;0
60;151908,997;0;0;0;0
61;6935,638304;0;0;0;0
62;37246,45542;0;0;0;0
63;31786,94253;0;0;0;0
64;253906,5649;0;0;0;0
65;72565,33231;0;0;0;0
66;160576,8461;0;0;0;0
67;12344,5548;0;0;0;0
68;4939,332512;0;0;0;0
69;112705,2403;0;0;0;0
70;82655,35601;0;0;0;0
71;152732,6985;0;0;0;0
72;10383,82555;0;0;0;0
73;82542,57368;0;0;0;0
74;56244,22486;0;0;0;0
75;69804,94587;0;0;0;0
76;140341,9312;0;0;0;0
77;150858,4394;0;0;0;0
78;132827,2942;0;0;0;0
79;179816,7105;0;0;0;0
