NISCode	sum_ParcelsNumber	avg_PriceP25	avg_PriceP50	avg_PriceP75	avg_ParcelsAreaP50	average_price_m2
13003B04-						
21009A512						
25120C293						
41002A421						
52011E0NH						
53044F082						
55004B01-						
63045B0PN						
73042A032						
93056C19-						
93056D000						
93056D062						
93056D091						
11001A00-	5	290000	520000	750000	331	1570.99697885196
11001A01-	1				290	
11001A020	1				1664	
11001A030	2				1732.5	
11001A042						
11001A052						
11001A063						
11001A074						
11001A091						
11001A0MA						
11001A0PA						
11001A10-	1				395	
11001A173						
11001A190						
11001A20-	1				1306	
11001A21-						
1100212MQ						
11002A00-	18	350000	775000	910000	45	17222.2222222222
11002A01-	11	260000	310000	485000	61.75	5020.24291497976
11002A02-	6	108000	650000	2000000	257.5	2524.27184466019
11002A03-	15	410000	579500	885000	61	9500
11002A04-	6	549000	642000	1450000	86	7465.11627906977
11002A05-	2				60.5	
11002A081						
11002A10-	16	1480000	2640000	3000000	107	24672.8971962617
11002A11-	14	347500	508750	586024	56.5	9004.42477876106
11002A12-	8	392500	477500	580000	54	8842.59259259259
11002A13-	6	310000	350000	430000	70	5000
11002A14-	5	827500	1100000	1767500	142	7746.47887323944
11002A15-	12	369000	500000	880000	88.5	5649.71751412429
11002A21-	11	370000	582500	720000	86	6773.25581395349
11002A22-	2				212	
11002B701						
11002B71-	1				300	
11002B721	2				202.5	
11002B73-						
11002B742						
11002B752						
11002B782						
11002B791						
11002B813						
11002B824						
11002C20-	14	450000	650000	1895000	81	8024.69135802469
11002C21-	6				104	
11002C22-	13	330000	400000	457500	112	3571.42857142857
11002C23-	8	183000	390000	395000	185	2108.10810810811
11002C24-	10	294500	342500	362500	124	2762.09677419355
11002C25-	17	300000	900000	1010000	183.5	4904.63215258856
11002C28-						
11002C29-						
11002C31-	2				814	
11002C41-	17	300000	367000	455000	92	3989.13043478261
11002C42-	10	255000	335000	371000	81	4135.8024691358
11002C43-	5	214000	230000	249900	91	2527.47252747253
11002C44-	4				80	
11002C45-	4				97	
11002C491						
11002D30-	2				180	
11002D31-						
11002D32-	5	517500	627500	697500	170	3691.17647058824
11002D33-	5	507500	710000	2385000	182	3901.0989010989
11002D34-	5	550000	575000	789000	158	3639.24050632911
11002D35-	1				159	
11002D38-						
11002D41-						
11002D42-	2				145	
11002E122	1				83	
11002E131	4				176	
11002E14-	13	596000	700000	920000	110	6363.63636363636
11002E15-	3				71	
11002E19-						
11002E50-	3				77.5	
11002E521	6				191.75	
11002E53-	8	380000	460000	680000	91	5054.94505494505
11002E551	3				73	
11002E5MJ						
11002F11-	4				351.25	
11002F12-						
11002F21-						
11002F223						
11002F60-	9	324000	355000	525000	118	3008.47457627119
11002F61-	18	290000	385000	470000	364.5	1056.2414266118
11002F62-	4				259	
11002F64-						
11002F65-	3				2499	
11002F6MJ						
11002F6NJ						
11002G51-	3				235	
11002G522	1				107	
11002G53-						
11002G54-	2				150	
11002G552						
11002G59-						
11002G72-	1				131	
11002G73-						
11002G74-						
11002G75-						
11002G780						
11002H40-	9	275000	310000	388000	94	3297.87234042553
11002H41-	5	180000	220000	235000	62	3548.38709677419
11002H43-	8	262500	265000	305000	233.5	1134.90364025696
11002H44-	3				129.5	
11002H4MJ						
11002H83-	7				403.8333333333333	
11002H84-						
11002H8MJ	3				1965.75	
11002J072						
11002J80-						
11002J820	1				145	
11002J83-						
11002J84-						
11002J85-	7	619000	788750	1000000	120	6572.91666666667
11002J873						
11002J8AN						
11002K171	3					
11002K172						
11002K173						
11002K175	1					
11002K1NP	2					
11002K1WN						
11002K214	2				231	
11002K271						
11002K272						
11002K2MN						
11002L000	4				652	
11002L011	4				542.5	
11002L022						
11002L070						
11002L090						
11002L100	4				335	
11002L111						
11002L122						
11002L17-						
11002L18-						
11002M0MA						
11002M0QA						
11002M0RA						
11002P00-	2				384.5	
11002P01-	4				226	
11002P02-	2				118.5	
11002P03-	4				678.5	
11002P04-						
11002P05-						
11002P09-						
11002P100	3				135	
11002P111	2				120	
11002P12-						
11002P192						
11002P20-	5	227500	317000	352000	298	1063.75838926174
11002P22-						
11002P23-						
11002P242						
11002P2AN						
11002P2AP	2				2096	
11002P392						
11002P500						
11002P589						
11002P590						
11002P6AK						
11002P6BK						
11002P6CK						
11002P6DK						
11002P6EK						
11002P6FK						
11002P6PK						
11002Q001	9	340000	487500	560000	131.83333333333334	3697.85082174463
11002Q012	17	220000	280000	345000	125	2240
11002Q021	2				357	
11002Q03-	1				315	
11002Q04-	1				102	
11002Q052						
11002Q072						
11002Q091						
11002Q10-	12	205000	242500	281000	287.5	843.478260869565
11002Q11-						
11002Q12-	7	320000	339900	565000	309.6666666666667	1097.63186221744
11002Q13-						
11002Q14-	1				148	
11002Q17-						
11002Q201						
11002Q212						
11002Q222						
11002Q233	2				250.5	
11002Q241						
11002Q242						
11002Q2AA						
11002Q2PP						
11002Q30-						
11002Q39-						
11002Q49-						
11002R00-	6	273500	496750	720000	236.5	2100.42283298097
11002R01-	3				165	
11002R02-	8				444	
11002R03-	8	220000	394000	920000	158	2493.67088607595
11002R04-	3				106	
11002R05-	3				150	
11002R099						
11002R101	6				917.1666666666666	
11002R110						
11002R12-	6	170000	265000	390000	120	2208.33333333333
11002R13-	8	275000	333000	350000	700	475.714285714286
11002R172						
11002R180						
11002R19-	2				734	
11002R20-						
11002R21-						
11002R22-						
11002R23-	1				308	
11002R24-	2				230	
11002R28-						
11002R29-						
11002R30-	8	250000	262500	337500	1530.75	171.484566389025
11002R31-	5				551.75	
11002R32-	1				160	
11002R33-						
11002R34-	6				189	
11002R35-						
11002R39-						
11002R401	2				305.5	
11002R41-	2				624.5	
11002R42-	2				1072	
11002R43-	3				1277.75	
11002R44-	2				206.5	
11002R47-						
11002R482						
11002S00-	2				424.5	
11002S01-	4				83.5	
11002S02-	8				1500.1666666666667	
11002S03-	2				195.5	
11002S04-	2				162.5	
11002S05-	6	335000	399900	415000	81	4937.03703703704
11002S10-						
11002S11-	1				253	
11002S12-	1				180	
11002S13-	2				207	
11002S19-						
11002S20-						
11002S28-						
11002S2MJ						
11002S30-	5				149	
11002S31-	4				91	
11002S41-	1				137	
11002S42-	4				184	
11002S43-	1				133	
11002T00-	7	210000	220000	235000	80	2750
11002T01-	9	330000	410000	600000	86	4767.44186046512
11002T02-	1				202	
11002T03-	6	570000	655000	1009000	78	8397.4358974359
11002T04-	3				240	
11002T05-						
11002T09-						
11002T10-	1				131	
11002T111						
11002T12-	2				145.5	
11002T13-						
11002T14-	2				177.5	
11002T180						
11002T19-						
11002T20-	15	362500	435000	517500	841.25	517.087667161961
11002T21-	5				179	
11002T22-	8	275000	385000	562500	266	1447.36842105263
11002T23-						
11002T24-						
11002T25-						
11002T30-	2				65	
11002T39-						
11002T412						
11002T42-						
11002U00-	12	370000	500000	592500	2149.5	232.612235403582
11002U01-	2				412	
11002U02-	1				682	
11002U03-	2				2894	
11002U09-						
11002U10-	6	276000	297500	302000	177	1680.79096045198
11002U11-	1				578	
11002U20-	4				784.5	
11002U21-	2				153.5	
11002U22-	2				202.5	
11002U30-						
11002U31-	2				90.5	
11002U32-						
11002U33-	2				91.5	
11002U40-						
11002U41-						
11002U43-	4				214	
11002U47-	3				1365	
11002U57-	1				1652	
11002U5MA						
11002U5PA						
11002U60-	1				826	
11002U68-						
11002U69-						
11002V00-	6	289000	303000	1050000	505.5	599.406528189911
11002V01-	3				180	
11002V02-						
11002V03-	4				134.5	
11002V04-	1				377	
11002V05-	1				60	
11002V07-						
11002V099						
11002V10-	7	270000	285000	300000	379	751.97889182058
11002V11-	1				293	
11002V12-						
11002V13-	1				114	
11002V14-	2				354	
11002V19-						
11002V20-	3				30	
11002V21-	2				734.5	
11002V22-						
11002V23-						
11002V29-						
11002V301	1				285	
11002V312						
11002V322						
11002V373	1				2660	
11002V391						
11004A00-	4				322	
11004A01-						
11004A02-						
11004A03-						
11004A081						
11004A09-						
11004A10-						
11004A18-						
11004A19-						
11004A21-	2				575	
11004A220						
11004A23-						
11004A242						
11004A29-						
11004B000	2				136	
11004B010	2				670.5	
11004B022						
11004B081						
11004B090						
11004B19-						
11005A00-	13	185000	221486	283000	85	2605.71764705882
11005A01-						
11005A02-	3				1381	
11005A03-	2				374.5	
11005A04-						
11005A051						
11005A072	1				17840	
11005A093						
11005A10-	1				195	
11005A184						
11005A191						
11005A20-	2				230.5	
11005A211	1				180	
11005A22-						
11005A232						
11005A242						
11005A25-						
11005A30-	2				788.5	
11005A39-						
11007A00-	1				385	
11007A01-	2				681.5	
11007A020						
11007A03-	3				870.75	
11007A04-	1				272	
11007A080						
11007A09-	2				1680.5	
11008A00-	7	400000	415000	500000	250	1660
11008A01-	20	330000	725000	725000	291.8333333333333	2484.29468874929
11008A020	2				1324	
11008A03-	4				496	
11008A04-	3				426.5	
11008A091						
11008A0AA						
11008A0BJ						
11008A0PA						
11008A10-	2				744	
11008A11-	1				263	
11008A12-	2				238	
11008A19-						
11008A20-	1				323	
11008A21-						
11008A22-						
11008A283						
11008A29-						
11008A30-	7	190000	280000	294000	152.5	1836.06557377049
11008A31-						
11008A32-						
11008A332						
11008A381						
11008A3MB	1				28856	
11008A3PB						
11008A40-	5	325000	415000	490000	255	1627.45098039216
11008A49-						
11008A500						
11008A510						
11008A59-						
11009A000	8	240000	490000	570000	321	1526.47975077882
11009A01-						
11009A02-						
11009A03-	1				1559	
11009A042						
11009A0AD	1				1080	
11009A0MC	1				2779	
11009A0PD						
11009A0QC						
11009A20-						
11009A21-						
11009A222						
11009A281						
11009A29-						
11009A30-	1				1146	
11009A38-						
11009A3AB						
11009A3PB						
11009A49-						
11009A59-						
11009A5AA						
11009A5PA						
11009B00-	5				246.5	
11009B01-						
11009B02-	1				1827	
11009B032						
11009B08-						
11009B091						
11009B18-						
11009B19-						
11009B20-						
11009B29-						
11009B2MA						
11009B2PA						
11009C00-	2				705.5	
11009C01-	2				526	
11009C020						
11009C03-	2				2719.5	
11009C08-						
11009C090	2				3164	
11013A00-	12	222000	310000	950000	152.5	2032.7868852459
11013A01-						
11013A02-						
11013A03-						
11013A040						
11013A050						
11013A090						
11013A101	4				375.5	
11013A11-	1				198	
11013A12-						
11013A132						
11013A142						
11013A181						
11013A19-	1				2422	
11013A20-	2				268.5	
11013A21-						
11016A000	3				436	
11016A010						
11016A021						
11016A042	2				587.5	
11016A052						
11016A091	5				1530.5	
11016A101	2				156.5	
11016A112	1				169	
11016A180						
11016A191						
11016A1AJ						
11016A200						
11016A262						
11016A273	2				4182.5	
11016A281	1				1194	
11016A291						
11016A300	2				4526	
11016A391						
11016A3AJ						
11016A401	1				235	
11016A412						
11016A501	1				1840	
11016A592						
11016A60-						
11016A691						
11018A000	2				387	
11018A010						
11018A021	2				577	
11018A030						
11018A042						
11018A054						
11018A070	1				13540	
11018A090						
11018A101	3				190	
11018A111						
11018A122	1				408	
11018A132						
11018A143						
11018A170						
11018A1MJ						
11021A00-	4				157	
11021A01-						
11021A02-						
11021A03-	2				532	
11021A04-						
11021A052						
11021A062						
11021A081						
11021A091						
11021A19-						
11022A001	2				240	
11022A012						
11022A02-						
11022A032	2				824	
11022A080						
11022A091						
11022A10-	1				7378	
11022A11-	2				285	
11022A120	1				770	
11022A132						
11022A181						
11022A19-						
11022A201						
11022A21-						
11022A22-						
11022A232						
11022A28-						
11022A2AA						
11022A2MA						
11022A2PA						
11022A30-						
11022A31-	2				485.5	
11022A322						
11022A382						
11022A39-						
11022A401	4				5043	
11022A412						
11022A423						
11022A48-						
11022A49-						
11022A50-						
11022A582						
11022A591						
11022A682						
11022A692						
11023A00-	7	260000	320000	515000	187	1711.22994652406
11023A01-						
11023A02-						
11023A03-	1				358	
11023A04-						
11023A050						
11023A062						
11023A08-						
11023A091						
11023A10-	8	220000	265000	305000	200	1325
11023A11-						
11023A122						
11023A133						
11023A191						
11023A200	1				1285	
11023A212						
11023A280						
11023A291						
11023B30-						
11023B31-						
11023B32-						
11023B330	1				4242	
11023B391						
11023B40-	2				322	
11023B49-						
11024A00-	7	350000	400000	950000	250	1600
11024A01-	1				12676	
11024A02-	2				319.5	
11024A03-						
11024A04-	1				203	
11024A05-						
11024A072	1				3915	
11024A09-						
11024A10-						
11024A111						
11024A132						
11024A142						
11024A191						
11024A1MA						
11024A1PA						
11024A200	2				261	
11024A210	1				350	
11024A220						
11024A280						
11024A291						
11024A30-						
11024A412						
11024A423						
11024A434						
11024B00-	2				245	
11024B012						
11024B08-						
11024B091						
11024B190						
11025A000	4				329	
11025A01-						
11025A02-						
11025A042						
11025A053	1				2431	
11025A08-						
11025A091						
11025A184	2				1281	
11025A19-						
11029A00-	8	267500	380000	475000	234	1623.93162393162
11029A01-						
11029A02-	1				105	
11029A041						
11029A07-	2				1146.5	
11029A10-	5	190000	235000	365000	76	3092.10526315789
11029A11-						
11029A12-						
11029A13-						
11029A14-						
11029A172						
11029A18-						
11029A191						
11029A201	4				271	
11029A211	1				438	
11029A22-						
11029A232						
11029A242						
11029A27-						
11029A282						
11029A301						
11029A372						
11030A00-	8	198000	236500	335000	221	1070.13574660633
11030A01-	2				592	
11030A02-						
11030A03-	1				190	
11030A052						
11030A091						
11030A10-						
11030A17-						
11035A000	2				665.5	
11035A01-						
11035A022						
11035A08-						
11035A091						
11035A10-						
11035A20-						
11035A29-						
11035A30-						
11035A39-						
11035B00-	1				631	
11035B010						
11035B02-						
11035B032						
11035B043						
11035B080						
11035B091						
11035B19-						
11035B2MA						
11035B2PA						
11035C00-	1				1204	
11035C01-						
11035C022						
11035C081						
11035C09-	2				863	
11035C19-						
11035C29-						
11035C39-						
11035D001						
11035D012						
11035D082						
11035D0AA						
11035D0PA						
11035D10-	4				552.1666666666666	
11035D19-	1				1375	
11035D29-						
1103710PQ						
11037A01-						
11037A02-	6				743	
11037A032						
11037A080						
11037A091	2				431.5	
11037A0ON						
11037A10-	1				1917	
11037A19-	1				1011	
11037B00-	3				130	
11037B01-						
11037B022						
11037B091	1				5614	
11037C000	8	240000	400000	400000	1267.3333333333333	315.623356128354
11037C010	2				353.5	
11037C022	1				1056	
11037C081						
11037C090	3				4125.75	
11037C100	2				971	
11037C110						
11037C12-						
11037C180						
11037C19-						
11037C20-						
11038A000						
11038A010	4				380.5	
11038A020						
11038A030						
11038A04-						
11038A070						
11038A090						
11038A1AR						
11038A1BR						
11039A00-	2				450.5	
11039A010	1				156	
11039A02-	7	312500	391350	476350	375	1043.6
11039A03-	1				849	
11039A04-						
11039A081						
11039A09-						
11039A10-	1				347	
11039A11-						
11039A122						
11039A20-						
11039A21-						
11039A22-	1				396	
11039A23-						
11039A28-						
11039A29-						
11039B000	2				364.5	
11039B01-	1				1291	
11039B02-						
11039B032						
11039B08-						
11039B091						
11039B10-						
11039B19-						
11040A00-	18	237500	425000	487500	217.5	1954.02298850575
11040A01-						
11040A02-						
11040A03-	2				92	
11040A040	1				201	
11040A050	1				266	
11040A060	1				415	
11040A072						
11040A091						
11040A0AA						
11040A0PA	2				2531	
11040A10-	4				289.5	
11040A11-						
11040A12-	1				1206	
11040A13-						
11040A14-						
11040A182						
11040A191						
11040A201	1				140	
11040A211						
11040A222						
11040A232						
11040A242						
11040A253						
11040A27-						
11040A291						
11040A30-						
11040A312						
11040A322						
11040A381						
11040A391						
11040A40-						
11040A410						
11040A480						
11040A490						
11040A50-						
11040A67-						
1104411PQ						
11044A001	5	230000	250000	465000	299	836.120401337793
11044A010						
11044A02-	1				1520	
11044A032	2				538	
11044A042						
11044A0PN						
11044A10-	1				220	
11044A112						
11044A191						
11044A21-						
11044B001	4				235	
11044B012						
11044B022						
11044B091						
11044B100						
11044B11-						
11044B19-						
11050A000	6	330000	344000	358000	380	905.263157894737
11050A01-	3				335	
11050A02-						
11050A03-						
11050A04-						
11050A052						
11050A073	1				5000	
11050A08-						
11050A091						
11050A100	1				424	
11050A110						
11050A19-						
11050A274						
11052A00-	1				283	
11052A010						
11052A02-						
11052A03-						
11052A041						
11052A052						
11052A072						
11052A08-						
11052A091						
11052A100	6	380000	380000	380000	275.5	1379.31034482759
11052A110	1				288	
11052A12-						
11052A180						
11052A191						
11052A200	1				2659	
11052A212	1				227	
11052A28-						
11052A290						
11052A3MA						
11052A3PA						
11053A000	5	419000	459500	500000	806	570.099255583127
11053A02-	1				2251	
11053A03-	1				400	
11053A04-						
11053A052						
11053A091						
11053A101	1				277	
11053A11-						
11053A122						
11053A132						
11053A1AA						
11053A1BB						
11053A1PA						
11053A1QB						
11053A21-						
11053A29-						
11053A381						
11053A391						
11053A400						
11053A480	1				1425	
11053A49-						
11053A512						
11053A591						
11053A610						
11053A622						
11053A681	1				97	
11053B000	2				552	
11053B01-	1				305	
11053B022						
11053B033						
11053B081	2				1463.5	
11053B09-						
11053B10-						
11053B18-						
11053B19-						
1105410PQ						
11054A00-	3				1691	
11054A01-	1				863	
11054A02-	1				1363	
11054A0AA						
11054A0BA						
11054A0CB						
