NISCode	sum_ParcelsNumber	avg_PriceP25	avg_PriceP50	avg_PriceP75	avg_ParcelsAreaP50	average_price_m2
11001A074						
11016A273						
11044A191						
12025A39-						
12025E080						
12030C044						
13002A19-	4				938	
13008B881	1				1250	
13021A091						
23016C10-						
23025A391	2				1475	
23038B19-	2				643.5	
23050A283	2				1316.5	
23062A882						
23096D091						
23103A091	4				1095.5	
24008A18-	4				723.5	
24062B27-						
24107D191						
25023A483						
25043D09-						
25105D082	1				1071	
25123C082						
31005B479						
32003K09-						
33011A471						
33037A081	3				900	
34022A712	5				140	
34027A0MA						
35002A29-						
35029C02-						
36019A102	1				1930	
41002A2PA	1				320	
41018P091						
42006C19-						
43002D11-						
43014E11-						
44021A42-						
44021H0MJ						
44049F012						
44081C081	4				1375	
46003E081						
46024A492						
51004F0PN						
5101211PQ						
51065L19-	3				1042.5	
52011J3NH						
52022B19-						
52075C19-						
53053A781						
53082B592						
55010C19-						
56029A10-	2				470	
56088A002						
57064A291	4				1527	
61003A07-						
62038B291	1				64	
62063G012	2				226	
62079D091						
62120A292	3				536	
63079F072						
63087B10-						
64025A3PN						
6407410PQ	1				865	
71022F09-	4				960.5	
72030B08-						
72040D062						
73006C074						
73040A1MA						
82014C10-	1				72	
83031B39-						
84009D19-	2				1127.5	
84068B09-						
85009B012	3				1200	
92003C11-						
92094V00-						
92137E09-						
93088A043	4				1310.5	
93088A054	2				878	
93088A072	2				72	
93088A085						
93088A091						
93088A113	2				1767	
11001A00-	64	285000	375000	437500	278	1348.92086330935
11001A01-	103	322500	385000	475000	230.75	1668.47237269772
11001A020	29	430000	535000	650000	510	1049.01960784314
11001A030	15	305000	358000	379000	215	1665.11627906977
11001A042	11	419800	627500	693000	946	663.319238900634
11001A052	59	358500	395000	472500	255	1549.01960784314
11001A063	11	326250	395000	552500	203	1945.81280788177
11001A091	14	600000	725000	952000	1061.5	682.995760715968
11001A0MA						
11001A0PA	3				2270	
11001A10-	29	342500	439000	565000	435	1009.19540229885
11001A173	3				970	
11001A190	13	320000	387500	650000	413.5	937.122128174123
11001A20-	37	345000	407500	572000	319	1277.42946708464
11001A21-	44	325000	360000	407500	232	1551.72413793103
1100212MQ						
11002A00-	19	380000	540000	667500	59.5	9075.63025210084
11002A01-	6	410000	512500	1005000	66.5	7706.76691729323
11002A02-	2				110	
11002A03-	13	400000	445000	500000	45	9888.88888888889
11002A04-	12	310000	402500	600000	55	7318.18181818182
11002A05-	17	375000	400000	850000	65.75	6083.65019011407
11002A081						
11002A10-	3				120	
