bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_verkaveling_2026;Totalen;;Totalen;;Aantal projecten;624.0
vergunningen_verkaveling_2026;Totalen;;Totalen;;Aantal gebouwen;238.0
vergunningen_verkaveling_2026;Totalen;;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;Totalen;;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;-;Totalen;Aantal projecten;497.0
vergunningen_verkaveling_2026;Totalen;;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;Totalen;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;Totalen;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;-;-;Aantal projecten;497.0
vergunningen_verkaveling_2026;Totalen;;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;Totalen;;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;Totalen;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;Totalen;Aantal projecten;127.0
vergunningen_verkaveling_2026;Totalen;;Sloop;Totalen;Aantal gebouwen;238.0
vergunningen_verkaveling_2026;Totalen;;Sloop;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;-;Aantal projecten;127.0
vergunningen_verkaveling_2026;Totalen;;Sloop;-;Aantal gebouwen;238.0
vergunningen_verkaveling_2026;Totalen;;Sloop;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;Totalen;;Sloop;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2019;;Totalen;;Aantal projecten;2.0
vergunningen_verkaveling_2026;2019;;Totalen;;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2019;;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2019;;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2019;;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2019;;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2019;;-;Totalen;Aantal projecten;2.0
vergunningen_verkaveling_2026;2019;;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2019;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2019;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2019;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2019;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2019;;-;-;Aantal projecten;2.0
vergunningen_verkaveling_2026;2019;;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2019;;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2019;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2019;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2019;;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2019;;Sloop;Totalen;Aantal projecten;
vergunningen_verkaveling_2026;2019;;Sloop;Totalen;Aantal gebouwen;
vergunningen_verkaveling_2026;2019;;Sloop;Totalen;Aantal wooneenheden;
vergunningen_verkaveling_2026;2019;;Sloop;Totalen;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2019;;Sloop;Totalen;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2019;;Sloop;Totalen;Bovengronds grond oppervlakte;
vergunningen_verkaveling_2026;2019;;Sloop;-;Aantal projecten;
vergunningen_verkaveling_2026;2019;;Sloop;-;Aantal gebouwen;
vergunningen_verkaveling_2026;2019;;Sloop;-;Aantal wooneenheden;
vergunningen_verkaveling_2026;2019;;Sloop;-;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2019;;Sloop;-;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2019;;Sloop;-;Bovengronds grond oppervlakte;
vergunningen_verkaveling_2026;2020;;Totalen;;Aantal projecten;59.0
vergunningen_verkaveling_2026;2020;;Totalen;;Aantal gebouwen;21.0
vergunningen_verkaveling_2026;2020;;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2020;;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;-;Totalen;Aantal projecten;46.0
vergunningen_verkaveling_2026;2020;;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2020;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2020;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2020;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;-;-;Aantal projecten;46.0
vergunningen_verkaveling_2026;2020;;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2020;;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2020;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2020;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Sloop;Totalen;Aantal projecten;13.0
vergunningen_verkaveling_2026;2020;;Sloop;Totalen;Aantal gebouwen;21.0
vergunningen_verkaveling_2026;2020;;Sloop;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2020;;Sloop;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Sloop;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Sloop;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Sloop;-;Aantal projecten;13.0
vergunningen_verkaveling_2026;2020;;Sloop;-;Aantal gebouwen;21.0
vergunningen_verkaveling_2026;2020;;Sloop;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2020;;Sloop;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Sloop;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2020;;Sloop;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Totalen;;Aantal projecten;127.0
vergunningen_verkaveling_2026;2021;Totalen;Totalen;;Aantal gebouwen;33.0
vergunningen_verkaveling_2026;2021;Totalen;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Totalen;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Aantal projecten;108.0
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Totalen;-;Totalen;Aantal wooneenheden;0.0
