NISCode;Appartment_sum_ParcelsNumber;Appartment_avg_PriceP25;Appartment_avg_PriceP50;Appartment_avg_PriceP75;Appartment_avg_ParcelsAreaP50;Appartment_average_price_m2;Appartment_avg_PriceP50_filled;Appartment_avg_PriceP50_status;Appartment_avg_PriceP50_source_CS01012024;Appartment_avg_PriceP50_distance_m
11002R33-;86;173125;193375;221050;;;193375;observed;;
11002R34-;39;195000;217125;244500;;;217125;observed;;
11002R35-;203;145750;173833.33333333334;201166.66666666666;;;173833.33333333334;observed;;
38016A052;65;145500;184000;264929.5;;;184000;observed;;
11002R401;107;214750;237000;272000;;;237000;observed;;
11002S03-;102;187500;220000;247500;;;220000;observed;;
11002R41-;50;164750;203700;240000;;;203700;observed;;
11002R42-;44;161250;196000;238750;;;196000;observed;;
11002R43-;183;199666.66666666666;230166.66666666666;295166.6666666667;;;230166.66666666666;observed;;
11002R44-;80;178000;222500;262750;;;222500;observed;;
11002S04-;183;147000;184125;212500;;;184125;observed;;
11002S00-;145;168250;201000;242500;;;201000;observed;;
11002S01-;86;169500;192283.945;218500;;;192283.945;observed;;
11002S11-;204;170000;199500;228500;;;199500;observed;;
11002S12-;100;200166.5;221625;285000;;;221625;observed;;
11002S13-;37;222500;241250;261000;;;241250;observed;;
11002S20-;45;99000;161750;176500;;;161750;observed;;
11002S2MJ;96;140000;168500;185500;;;168500;observed;;
11002S30-;59;189750;240000;273000;;;240000;observed;;
11002S31-;57;146666.66666666666;162500;187833.33333333334;;;162500;observed;;
11002S41-;60;185000;217612.5;257500;;;217612.5;observed;;
11002T04-;108;217500;301125;412500;;;301125;observed;;
11002S42-;196;166250;215000;256000;;;215000;observed;;
11002S43-;47;157750;172500;222500;;;172500;observed;;
11002T00-;87;175000;220000;256000;;;220000;observed;;
11002T01-;30;129700;160833.33333333334;197166.66666666666;;;160833.33333333334;observed;;
11002T02-;34;197750;232300;298000;;;232300;observed;;
11002T03-;92;161833.33333333334;205333.33333333334;268000;;;205333.33333333334;observed;;
11002T05-;165;122500;270000;378050;;;270000;observed;;
11002T09-;29;146000;179500;228000;;;179500;observed;;
11002T10-;101;210750;255062.5;308000;;;255062.5;observed;;
11002T111;461;164250;196375;234625;;;196375;observed;;
11002T12-;82;192500;244375;293875;;;244375;observed;;
11002T13-;101;218500;259000;321500;;;259000;observed;;
11002T14-;101;212500;240750;277250;;;240750;observed;;
11002T180;40;150250;157750;270250;;;157750;observed;;
11002T20-;232;164500;197500;241631.25;;;197500;observed;;
11002T21-;24;99500;174250;253500;;;174250;observed;;
11002T22-;39;209500;221250;244000;;;221250;observed;;
11002T23-;13;90000;159500;232000;;;159500;observed;;
11002T24-;25;200000;245500;283500;;;245500;observed;;
11002T30-;61;186916.66666666666;222004.16666666666;255470.83333333334;;;222004.16666666666;observed;;
11002T412;226;113333.33333333333;173333.33333333334;222750;;;173333.33333333334;observed;;
11002T42-;149;221875;254875;292125;;;254875;observed;;
11002U00-;248;301500;353333.3333333333;392500;;;353333.3333333333;observed;;
11002U01-;106;171333.33333333334;194283.33333333334;228666.66666666666;;;194283.33333333334;observed;;
11002U02-;65;201500;237500;258000;;;237500;observed;;
11002U03-;45;127500;222500;255500;;;222500;observed;;
11002U10-;159;189500;238625;302250;;;238625;observed;;
11002U11-;52;224600;250000;276750;;;250000;observed;;
11002U20-;185;151000;190000;219250;;;190000;observed;;
11002U21-;63;166500;194875;212500;;;194875;observed;;
11002U22-;57;159000;179000;202500;;;179000;observed;;
11002U30-;162;207250;234250;282924.5;;;234250;observed;;
11002U31-;26;167500;197687.5;245000;;;197687.5;observed;;
11002U43-;153;219500;247702.75;280000;;;247702.75;observed;;
11002U32-;6;275000;300000;579000;;;300000;observed;;
11002U33-;198;189750;246500;283750;;;246500;observed;;
11002U40-;61;208250;219375;250375;;;219375;observed;;
11002U41-;25;182500;239000;259000;;;239000;observed;;
11002V00-;51;181500;210000;235500;;;210000;observed;;
11002V01-;62;160000;178437.5;197550;;;178437.5;observed;;
11002V03-;25;120000;185000;235000;;;185000;observed;;
11002V04-;49;94750;163750;202500;;;163750;observed;;
11002V05-;31;105000;191250;198500;;;191250;observed;;
11002V10-;156;145333.33333333334;187333.33333333334;209333.33333333334;;;187333.33333333334;observed;;
11002V301;13;194750;212375;274500;;;212375;observed;;
11002V11-;149;112500;148000;175000;;;148000;observed;;
11002V12-;66;119500;149500;171500;;;149500;observed;;
11002V13-;97;155750;190500;213500;;;190500;observed;;
11002V14-;47;94000;174500;230000;;;174500;observed;;
11002V19-;11;222500;222500;222500;;;222500;observed;;
11002V20-;59;161500;202000;222500;;;202000;observed;;
11002V22-;20;90500;180000;196250;;;180000;observed;;
11002V23-;38;182500;196250;221900;;;196250;observed;;
11002V312;22;242375;264250;286062.5;;;264250;observed;;
11002V322;22;112763.5;194000;237500;;;194000;observed;;
11004A00-;33;190000;217251;282500;;;217251;observed;;
11004A01-;12;209000;215000;220000;;;215000;observed;;
11004A03-;63;133750;162500;257500;;;162500;observed;;
11004A10-;24;231000;242500;275000;;;242500;observed;;
11004A21-;57;95874.405;132500;288750;;;132500;observed;;
11004A220;73;223500;288750;385875;;;288750;observed;;
11005A242;11;290000;320000;340000;;;320000;observed;;
11004A19-;17;179750;207250;260000;;;207250;observed;;
11005A211;29;116250;164250;220000;;;164250;observed;;
11005A00-;134;148750;170000;215500;;;170000;observed;;
11005A01-;50;202875;230000;252500;;;230000;observed;;
11005A02-;36;75000;91500;198500;;;91500;observed;;
11005A03-;69;180166.66666666666;201333.33333333334;212175;;;201333.33333333334;observed;;
11005A232;13;164000;164000;164000;;;164000;observed;;
11005A04-;53;136000;140500;145000;;;140500;observed;;
11005A20-;18;19000;126000;200000;;;126000;observed;;
11005A30-;60;131500;184500;218750;;;184500;observed;;
11007A00-;30;223783.465;261250;342500;;;261250;observed;;
11007A01-;38;191000;199000;211500;;;199000;observed;;
21009A712;44;217500;320000;387500;;;320000;observed;;
11007A03-;89;185000;218750;247500;;;218750;observed;;
11007A04-;133;195000;216875;267500;;;216875;observed;;
11008A01-;116;176500;233333.33333333334;297500;;;233333.33333333334;observed;;
11008A020;162;209375;243750;265500;;;243750;observed;;
11008A00-;125;243250;285000;344942.875;;;285000;observed;;
21009A90-;54;165000;310000;352105;;;310000;observed;;
11008A04-;74;262000;295000;328750;;;295000;observed;;
11008A10-;45;200500;221000;268750;;;221000;observed;;
21009A911;66;190000;299500;351250;;;299500;observed;;
11008A0BJ;79;227464.66666666666;241856.33333333334;341063;;;241856.33333333334;observed;;
11008A11-;5;82500;187500;292000;;;187500;observed;;
11008A20-;51;220000;254500;305000;;;254500;observed;;
11008A21-;9;542500;555000;570000;;;555000;observed;;
11008A283;9;390000;530000;560000;;;530000;observed;;
11008A30-;44;197500;244300.915;334750;;;244300.915;observed;;
11008A31-;26;202500;247500;292500;;;247500;observed;;
11009A000;33;280000;292000;300000;;;292000;observed;;
11008A40-;56;232250;260250;289000;;;260250;observed;;
11008A500;24;227500;495000;705000;;;495000;observed;;
11008A510;20;225000;311500;560000;;;311500;observed;;
21001A10-;43;194500;207500;217000;;;207500;observed;;
11040A242;39;200000;209500;221250;;;209500;observed;;
11009A0QC;5;469000;489000;490000;;;489000;observed;;
11009A21-;9;266000;285500;305000;;;285500;observed;;
11009B00-;25;215000;257750;280000;;;257750;observed;;
21009A922;15;325000;395000;421500;;;395000;observed;;
21010A10-;83;182500;216750;248250;;;216750;observed;;
11009C00-;42;230000;282000;291000;;;282000;observed;;
11009C01-;63;190000;270000;345000;;;270000;observed;;
11009C03-;81;247000;287500;415000;;;287500;observed;;
11013A00-;56;165750;217250;291250;;;217250;observed;;
11013A01-;68;94750;107250;127250;;;107250;observed;;
11013A02-;334;220500;254625;303500;;;254625;observed;;
11013A21-;69;291696;335001.75;344698.75;;;335001.75;observed;;
11013A040;55;115000;229500;257500;;;229500;observed;;
11013A050;31;216625;240500;266000;;;240500;observed;;
11013A090;13;215000;240000;265000;;;240000;observed;;
11013A101;109;137930;218992.5;267250;;;218992.5;observed;;
11013A11-;22;109000;224000;231500;;;224000;observed;;
11016A000;37;94625;149406.25;252500;;;149406.25;observed;;
11013A132;38;210000;232750;254500;;;232750;observed;;
11013A142;46;137000;245956.47999999998;272000;;;245956.47999999998;observed;;
11013A20-;14;272500;290000;307500;;;290000;observed;;
11016A010;31;19000;143256.005;267512.01;;;143256.005;observed;;
11016A021;9;16000;110000;375000;;;110000;observed;;
11016A042;34;242000;252500;259500;;;252500;observed;;
11044A042;8;207000;250000;265000;;;250000;observed;;
11016A401;19;165000;175000;219000;;;175000;observed;;
11018A000;20;191000;224500;260000;;;224500;observed;;
11018A010;28;177000;190000;209500;;;190000;observed;;
11018A021;40;80250;104000;187500;;;104000;observed;;
11018A042;6;305000;362500;420000;;;362500;observed;;
11018A054;21;20000;265000;395000;;;265000;observed;;
11018A111;9;234000;234500;235000;;;234500;observed;;
11018A101;30;186500;199375;241250;;;199375;observed;;
11018A122;25;146750;167625;223250;;;167625;observed;;
11018A1MJ;29;111625;111625;111625;;;111625;observed;;
11022A001;42;220000;264000;315000;;;264000;observed;;
11021A00-;36;100000;155500;258875;;;155500;observed;;
11021A052;19;439000;521500;669500;;;521500;observed;;
11022A032;11;241000;285000;505000;;;285000;observed;;
11022A080;6;1750000;1750000;1750000;;;1750000;observed;;
11022A10-;71;192250;234750;271000;;;234750;observed;;
11022A201;33;323000;323000;323000;;;323000;observed;;
11022A21-;14;204750;234000;254500;;;234000;observed;;
12021A333;39;7500;25000;189000;;;25000;observed;;
11022A2MA;12;714000;714000;714000;;;714000;observed;;
11022A30-;11;259000;299500;340000;;;299500;observed;;
11022A401;13;233500;257500;312500;;;257500;observed;;
11023A00-;104;216625;264250;325816;;;264250;observed;;
11023A01-;12;195000;198500;270000;;;198500;observed;;
21002A511;178;102000;235000;297500;;;235000;observed;;
11023A02-;88;121000;156375;222750;;;156375;observed;;
11023A03-;41;173750;209937.5;215437.5;;;209937.5;observed;;
11023A04-;8;227000;282500;312500;;;282500;observed;;
11023A050;58;190000;262500;360000;;;262500;observed;;
11023A062;10;168750;237500;262500;;;237500;observed;;
11023A08-;24;385000;412500;440000;;;412500;observed;;
21012A02-;6;170500;185500;260000;;;185500;observed;;
11023A10-;26;252000;264500;271250;;;264500;observed;;
21012A03-;22;100000;322000;475000;;;322000;observed;;
11023A200;8;445000;455000;465000;;;455000;observed;;
11023B40-;14;290000;307000;337000;;;307000;observed;;
11023A291;18;18;1097509;2195000;;;1097509;observed;;
11023B30-;31;199250;226250;255750;;;226250;observed;;
11023B31-;41;422500;465000;572500;;;465000;observed;;
11023B32-;15;210000;260000;307000;;;260000;observed;;
11024A00-;109;175000;262750;312500;;;262750;observed;;
11023B330;53;187950;209125;232638.5;;;209125;observed;;
11024A01-;53;122500;202500;217750;;;202500;observed;;
11024A02-;80;208750;266250;386250;;;266250;observed;;
11024A03-;15;270650;317500;332750;;;317500;observed;;
11024A04-;26;195000;211500;229000;;;211500;observed;;
11024A072;9;555000;555000;555000;;;555000;observed;;
13035C0JB;37;40000;95000;134995;;;95000;observed;;
11024A200;18;171305.86;187875;263500;;;187875;observed;;
11024A210;56;129500;215000;241000;;;215000;observed;;
12025A011;53;122000;289450;365000;;;289450;observed;;
