NISCode;houses_sum_ParcelsNumber;houses_avg_PriceP25;houses_avg_PriceP50;houses_avg_PriceP75;houses_avg_ParcelsAreaP50;houses_average_price_m2;houses_avg_PriceP50_filled;houses_avg_PriceP50_status;houses_avg_PriceP50_distance_m;houses_average_price_m2_filled;houses_average_price_m2_status;houses_average_price_m2_distance_m
11001A00-;64;285000;375000;437500;278;1348.92086330935;375000;observed;;1348.92086330935;observed;
11001A01-;103;322500;385000;475000;230.75;1668.47237269772;385000;observed;;1668.47237269772;observed;
11001A020;29;430000;535000;650000;510;1049.01960784314;535000;observed;;1049.01960784314;observed;
11001A052;59;358500;395000;472500;255;1549.01960784314;395000;observed;;1549.01960784314;observed;
11001A063;11;326250;395000;552500;203;1945.81280788177;395000;observed;;1945.81280788177;observed;
11001A030;15;305000;358000;379000;215;1665.11627906977;358000;observed;;1665.11627906977;observed;
11001A042;11;419800;627500;693000;946;663.319238900634;627500;observed;;663.319238900634;observed;
11001A091;14;600000;725000;952000;1061.5;682.995760715968;725000;observed;;682.995760715968;observed;
11001A10-;29;342500;439000;565000;435;1009.19540229885;439000;observed;;1009.19540229885;observed;
11001A190;13;320000;387500;650000;413.5;937.122128174123;387500;observed;;937.122128174123;observed;
11001A20-;37;345000;407500;572000;319;1277.42946708464;407500;observed;;1277.42946708464;observed;
11001A21-;44;325000;360000;407500;232;1551.72413793103;360000;observed;;1551.72413793103;observed;
12014E091;12;499000;499000;499000;688;725.290697674419;499000;observed;;725.290697674419;observed;
11002A00-;19;380000;540000;667500;59.5;9075.63025210084;540000;observed;;9075.63025210084;observed;
11002A01-;6;410000;512500;1005000;66.5;7706.76691729323;512500;observed;;7706.76691729323;observed;
11002A03-;13;400000;445000;500000;45;9888.88888888889;445000;observed;;9888.88888888889;observed;
11002A04-;12;310000;402500;600000;55;7318.18181818182;402500;observed;;7318.18181818182;observed;
11002A05-;17;375000;400000;850000;65.75;6083.65019011407;400000;observed;;6083.65019011407;observed;
11002A11-;36;358500;450000;563000;52;8653.84615384615;450000;observed;;8653.84615384615;observed;
11002A13-;26;245000;482000;580000;74.5;6469.79865771812;482000;observed;;6469.79865771812;observed;
11002A15-;16;216114.525;387500;465000;50.25;7711.44278606965;387500;observed;;7711.44278606965;observed;
11002A21-;19;399900;466917.5;850000;66;7074.50757575758;466917.5;observed;;7074.50757575758;observed;
11002A22-;14;525000;912500;1330000;69;13224.6376811594;912500;observed;;13224.6376811594;observed;
11002B701;16;340000;400000;425000;233;1716.73819742489;400000;observed;;1716.73819742489;observed;
11002B71-;23;389000;434500;730000;321.25;1352.52918287938;434500;observed;;1352.52918287938;observed;
11002B721;50;315000;340000;385000;156;2179.48717948718;340000;observed;;2179.48717948718;observed;
11002B742;21;460000;515000;555000;320.75;1605.61184723305;515000;observed;;1605.61184723305;observed;
11002B813;35;400000;422000;445000;170;2482.35294117647;422000;observed;;2482.35294117647;observed;
11002C42-;103;200000;270000;339000;49.25;5482.23350253807;270000;observed;;5482.23350253807;observed;
11002B791;5;682370;905020;997650;808;1120.07425742574;905020;observed;;1120.07425742574;observed;
11002C21-;22;312000;460000;530000;79.5;5786.16352201258;460000;observed;;5786.16352201258;observed;
11002C22-;18;270000;380000;408000;118.5;3206.75105485232;380000;observed;;3206.75105485232;observed;
11002C23-;35;295000;423000;492000;107.75;3925.75406032483;423000;observed;;3925.75406032483;observed;
11002C41-;49;224500;289500;396650;78.5;3687.89808917197;289500;observed;;3687.89808917197;observed;
11002C24-;40;324000;477500;650000;80;5968.75;477500;observed;;5968.75;observed;
11002C25-;13;426000;600000;750000;139;4316.54676258993;600000;observed;;4316.54676258993;observed;
11002C43-;49;190000;260000;350000;84.75;3067.84660766962;260000;observed;;3067.84660766962;observed;
11002C44-;41;213750;242000;357500;67.5;3585.18518518519;242000;observed;;3585.18518518519;observed;
11002C45-;64;218500;250000;305000;79;3164.55696202532;250000;observed;;3164.55696202532;observed;
11002D30-;15;575000;737500;930000;185;3986.48648648649;737500;observed;;3986.48648648649;observed;
11002D31-;22;375000;450000;740000;213;2112.67605633803;450000;observed;;2112.67605633803;observed;
11002D32-;29;385000;489000;668507.3;95;5147.36842105263;489000;observed;;5147.36842105263;observed;
11002D33-;30;475000;608675;785000;177.5;3429.15492957746;608675;observed;;3429.15492957746;observed;
11002D34-;158;406000;500000;600000;111;4504.5045045045;500000;observed;;4504.5045045045;observed;
