bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_kwetsbare_functies_2026;Totalen;;Totalen;;Aantal projecten;139.0
vergunningen_kwetsbare_functies_2026;Totalen;;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;Totalen;Aantal projecten;139.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;-;Aantal projecten;139.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;Totalen;;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;Totalen;;Aantal projecten;9.0
vergunningen_kwetsbare_functies_2026;2020;;Totalen;;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2020;;Totalen;;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2020;;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;Totalen;Aantal projecten;9.0
vergunningen_kwetsbare_functies_2026;2020;;-;Totalen;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;Totalen;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;-;Aantal projecten;9.0
vergunningen_kwetsbare_functies_2026;2020;;-;-;Aantal gebouwen;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;-;Aantal wooneenheden;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;-;Nuttige woonoppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_kwetsbare_functies_2026;2020;;-;-;Bovengronds grond oppervlakte;0.0
