naam,naam_mooi,help
verkavelingsverbod,Verkavelingsverbod,De assumptie hier is ...
woongebiedverbod,Verbod op het aanduiden van woongebied,De assumptie hier is ...
aankoopbeleid_percelen,Aankoopbeleid van percelen,De assumptie hier is ...
voorkooprecht_percelen,Voorkooprecht op percelen,De assumptie hier is ...
onteigening_percelen,Onteigenen van percelen,De assumptie hier is ...
verbod_kleine_woning,Verbod op bijkomende kleinschalige woningen,De assumptie hier is ...
verbod_grote_woning,Verbod op bijkomende grootschalige woningen,De assumptie hier is ...
verbod_kwetsbare_groep,Verbod op bijkomende kwetsbare groepen,De assumptie hier is ...
woonverdichtingsverbod_woningen,Verbod op het opsplitsen van woonsten,De assumptie hier is ...
aankoopbeleid_woningen,Aankoopbeleid van woningen,De assumptie hier is ...
voorkooprecht_woningen,Voorkooprecht van woningen,De assumptie hier is ...
onteigening_woningen,Onteigenen van woningen,De assumptie hier is ...
landingsbaan_verschuiven,Landingsbaan verschuiven,De assumptie hier is ...
isolatievoorschriften_nieuwbouw,Isolatievoorschriften voor nieuwbouw,De assumptie hier is ...
verplicht_isoleren_renovatie,Verplicht isoleren bij serieuze renovatie,De assumptie hier is ...
gesubsidieerd_isolatieprogramma,Gesubsidieerd isolatieprogramma,De assumptie hier is ...
gestuurd_isolatieprogramma,Gestuurd isolatieprogramma,De assumptie hier is ...
aanleg_geluidsbuffers,Aanleg van geluidsbuffers,De assumptie hier is ...
compensatie_buitenzone,Compensatie voor de buitenzone,De assumptie hier is ...
compensatie_verhuis,Compensatie voor de verhuis, De assumptie hier is ...
