db_lden,oppervlakte_overlap_m2,inwoners_overlap,inwoners,onbebouwde_bebouwbare_percelen,onbebouwde_onbebouwbare_percelen,bewoonde_niet_geïsoleerde_woning,bewoonde_geïsoleerde_woning,nieuwe_woning,perceel_eigendom_overheid,woning_eigendom_overheid,onbebouwbaar_naar_bebouwbaar,bebouwbaar_naar_onbebouwbaar,aantal_woning_transacties_per_jaar,aantal_transacties_niet_geïsoleerde_woningen,aantal_transacties_geïsoleerde_woningen,aantal_bebouwbare_perceel_transacties_per_jaar,aantal_vergunningen_nieuwbouw,aantal_vergunningen_renovatie,aantal_vergunningen_kwetsbare_groepen,jaarlijks_aantal_vergunningen_met_isolatie,jaarlijks_aantal_vergunningen_zonder_isolatie,aantal_vergunningen_sloop,aantal_nieuwe_percelen_verkaveling,inwoners_lnight45,inwoners_na70,oppervlakte_lnight45_m2,oppervlakte_na70_m2,gemiddelde_prijs_van_een_woning,gemiddelde_prijs_bebouwbaar_perceel,share_lnight45,share_na70,slopen_niet_geïsoleerde_woningen_baseline,slopen_niet_geïsoleerde_woningen_active,slopen_geïsoleerde_woningen_baseline,slopen_geïsoleerde_woningen_active,verkavelings_verbod_baseline,verkavelings_verbod_active,natuurlijke_woongebied_schrapping_baseline,natuurlijke_woongebied_schrapping_active,woongebiedverbod_baseline,woongebiedverbod_active,aankoopbeleid_percelen_baseline,aankoopbeleid_percelen_active,voorkooprecht_percelen_baseline,voorkooprecht_percelen_active,onteigening_percelen_baseline,onteigening_percelen_active,woningverbod_baseline,woningverbod_active,verbod_kwetsbare_groep_baseline,verbod_kwetsbare_groep_active,woonverdichtingsverbod_niet_geïsoleerde_woningen_baseline,woonverdichtingsverbod_niet_geïsoleerde_woningen_active,woonverdichtingsverbod_geïsoleerde_woningen_baseline,woonverdichtingsverbod_geïsoleerde_woningen_active,aankoopbeleid_niet_geïsoleerde_woningen_baseline,aankoopbeleid_niet_geïsoleerde_woningen_active,aankoopbeleid_geïsoleerde_woningen_baseline,aankoopbeleid_geïsoleerde_woningen_active,voorkooprecht_niet_geïsoleerde_woningen_baseline,voorkooprecht_niet_geïsoleerde_woningen_active,voorkooprecht_geïsoleerde_woningen_baseline,voorkooprecht_geïsoleerde_woningen_active,onteigening_niet_geïsoleerde_woningen_baseline,onteigening_niet_geïsoleerde_woningen_active,onteigening_geïsoleerde_woningen_baseline,onteigening_geïsoleerde_woningen_active,isolatievoorschriften_nieuwbouw_naar_niet_geïsoleerde_woning_baseline,isolatievoorschriften_nieuwbouw_naar_niet_geïsoleerde_woning_active,isolatievoorschriften_nieuwbouw_naar_geïsoleerde_woning_baseline,isolatievoorschriften_nieuwbouw_naar_geïsoleerde_woning_active,renovatie_zonder_maatregel_baseline,renovatie_zonder_maatregel_active,verplicht_isoleren_renovatie_baseline,verplicht_isoleren_renovatie_active,gesubsidieerd_isolatieprogramma_baseline,gesubsidieerd_isolatieprogramma_active,gestuurd_isolatieprogramma_baseline,gestuurd_isolatieprogramma_active,aanleg_geluidsbuffers_baseline,aanleg_geluidsbuffers_active
45,89682791.10773496,153722.74689830703,151176.31855039502,951,2853,49944.7979182051,5445.673574642374,0.0,0,0,0.5999999999999999,4.4,9703.573802385996,8770.380057076709,933.1937453092894,199.60525594045626,949.3806195810803,530.8841304654367,20.028052890983663,106.17682609308734,424.70730437234937,345.7051328075743,122.37826286202312,0.0,0.0,0.0,0.0,309484.04137578,258150.62682242264,0.0,0.0,0.0015603095780301081,0.0,0.0015603095780301081,0.0,0.12868376746795282,0.0,0.0046267087276551004,0.0,0.00021030494216614087,0.0,0,0.052472464758269256,0,0.10494492951653851,0,1.0,0.016850476113347584,0.0,0.021059992524693653,0,0.016850476113347584,0.0,0.016850476113347584,0.0,0,0.04390036811961885,0,0.042841061464585384,0,0.0878007362392377,0,0.08568212292917077,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.010629417929268007,0,0.010629417929268007,0,0.021258835858536013,0,1.0,0,0
46,70164856.34330039,159030.16090879004,156920.350998259,571,1713,52862.43264734755,4647.759613018292,0.0,0,0,0.9999999999999998,3.999999999999999,6942.525844332297,6417.047271931689,525.4785724006083,111.67423973859187,693.9087118527001,563.3252147250147,13.059587973373624,112.66504294500297,450.66017178001186,364.6899236412111,70.21842940569735,0.0,0.0,0.0,0.0,268712.6887041072,362381.0064274195,0.0,0.0,0.0015853273537590987,0.0,0.0015853273537590987,0.0,0.12297448232171164,0.0,0.00700525394045534,0.0,0.0005837711617046117,0.0,0,0.04889415049850782,0,0.09778830099701565,0,1.0,0.011947218795751512,0.0,0.022871432527799693,0,0.011947218795751512,0.0,0.011947218795751512,0.0,0,0.03034786213273933,0,0.02826515440518654,0,0.06069572426547866,0,0.05653030881037308,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.010656437596866446,0,0.010656437596866446,0,0.021312875193732893,0,1.0,0,0
47,58128808.47222669,122204.46353860998,122480.80237578797,688,2064,40947.71915822463,3896.406271485507,0.0,0,0,0.5999999999999999,2.0,5628.255716208059,5189.663322218651,438.59239398940895,104.62235738765159,387.4761085748138,437.87130200231985,7.499252846591299,87.574260400464,350.297041601856,277.68334279384544,97.47261135810679,0.0,0.0,0.0,0.0,273768.88057277905,208069.19995532557,0.0,0.0,0.001548047487452362,0.0,0.001548047487452362,0.0,0.14167530720655055,0.0,0.0029069767441860465,0.0,0.0002906976744186046,0.0,0,0.03801684498097805,0,0.0760336899619561,0,1.0,0.008509949951116974,0.0,0.010900076811905957,0,0.008509949951116974,0.0,0.008509949951116974,0.0,0,0.03168469104570548,0,0.028140827946965815,0,0.06336938209141096,0,0.05628165589393163,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.010693423492291644,0,0.010693423492291644,0,0.021386846984583287,0,1.0,0,0
48,57247708.460219756,150296.58948617597,150467.60481648994,849,2547,48289.941582743704,4575.102188565457,0.0,0,0,0.2,3.0000000000000004,6276.704645895883,5731.214324760826,545.4903211350552,104.14349771851079,368.7807023899056,528.6416337017689,7.336758913021356,105.72832674035374,422.91330696141495,323.32529282942187,96.8432916074262,0.0,0.0,0.0,0.0,275856.9830230855,215840.06621434557,0.0,0.0,0.0015290126980132025,0.0,0.0015290126980132025,0.0,0.1140674812808318,0.0,0.00353356890459364,0.0,0.00007852375343541422,0.0,0,0.030666518762812362,0,0.061333037525624724,0,1.0,0.006865629107352485,0.0,0.008641647718517498,0,0.006865629107352485,0.0,0.006865629107352485,0.0,0,0.02967084933691896,0,0.02980754847937593,0,0.05934169867383792,0,0.05961509695875186,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.010947241110158596,0,0.010947241110158596,0,0.02189448222031719,0,1.0,0,0
49,44811521.23786366,130863.724234786,129691.672527841,645,1935,43011.783251397734,3837.0412237577757,0.0,0,0,0.0,2.8,5495.98596515001,5080.964883590366,415.02108155964305,66.4222050539572,488.5901231378929,479.04928523100705,9.05473493567179,95.80985704620144,383.2394281848058,277.80455480451093,89.68949397114868,0.0,0.0,0.0,0.0,277240.00957084866,196156.5515230026,0.0,0.0,0.0014824521101475768,0.0,0.0014824521101475768,0.0,0.1390534790250367,0.0,0.004341085271317829,0.0,0.0,0.0,0,0.02574504071858806,0,0.05149008143717612,0,1.0,0.010287445337098073,0.0,0.014038348737475644,0,0.010287445337098073,0.0,0.010287445337098073,0.0,0,0.029532400771974807,0,0.027040436716574773,0,0.059064801543949615,0,0.054080873433149546,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.011137629017402798,0,0.011137629017402798,0,0.022275258034805595,0,1.0,0,0
50,40989482.09291588,108663.1713361164,109369.39360973639,725,2175,34815.0638705577,3749.21388792409,0.0,0,0,0.0,4.199999999999999,4495.087239735062,4058.291199799105,436.7960399359569,89.15166269103338,433.3623560196079,404.11128995496574,8.0938287160802,80.82225799099317,323.28903196397266,216.5073224445527,75.55751838997442,0.0,0.0,0.0,0.0,297636.24620324036,170241.87101590625,0.0,0.0,0.0014035484068992729,0.0,0.0014035484068992729,0.0,0.1042172667447923,0.0,0.005793103448275861,0.0,0.0,0.0,0,0.030741952652080476,0,0.06148390530416095,0,1.0,0.01103004129227225,0.0,0.011163901677352,0,0.01103004129227225,0.0,0.01103004129227225,0.0,0,0.029141776207045167,0,0.02912584164262014,0,0.058283552414090334,0,0.05825168328524028,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.011607368909545886,0,0.011607368909545886,0,0.023214737819091773,0,1.0,0,0
51,35941738.73064108,74629.063056324,72049.404666246,543,1629,22858.013386037062,2623.7901782124773,0.0,0,0,0.0,2.8,3127.10424889789,2798.248009179,328.8562397188902,54.07982171216604,251.89708425643312,262.21167999893373,4.662366481775297,52.44233599978674,209.76934399914697,144.79465138138772,54.85231564825562,816.7661,0.0,1813582.1966006001,0.0,350028.052421763,126506.94174838532,0.011336194987085603,0.0,0.0014205691035203227,0.0,0.0014205691035203227,0.0,0.10101715588997351,0.0,0.005156537753222836,0.0,0.0,0.0,0,0.02489862878092359,0,0.04979725756184718,0,1.0,0.009679115680337583,0.0,0.008586310279512517,0,0.009679115680337583,0.0,0.009679115680337583,0.0,0,0.030604672001902016,0,0.031334083270992706,0,0.06120934400380403,0,0.06266816654198541,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.011471324107243157,0,0.011471324107243157,0,0.022942648214486314,0,1.0,0,0
52,28677523.50462662,62681.841748413,63015.813068149,602,1806,19866.01687846471,2373.948256761301,0.0,0,0,0.0,1.4000000000000001,2979.058995580402,2673.338995091124,305.7200004892784,61.834992198043686,222.9808121581314,227.3509769608409,4.205965859613024,45.47019539216818,181.88078156867272,127.92869874275537,52.20749267051066,6259.185600000001,0.0,7006296.036343,0.0,344415.37294318667,177594.287934138,0.09932722114100075,0.0,0.0014380496772916289,0.0,0.0014380496772916289,0.0,0.08672340975167883,0.0,0.0023255813953488376,0.0,0.0,0.0,0,0.025678983470948373,0,0.051357966941896746,0,1.0,0.00976189267596153,0.0,0.006986654251848878,0,0.00976189267596153,0.0,0.00976189267596153,0.0,0,0.03364211119226792,0,0.0321953100302997,0,0.06728422238453584,0,0.0643906200605994,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.011444215433406553,0,0.011444215433406553,0,0.022888430866813105,0,1.0,0,0
53,30773880.28739037,84540.568806972,81017.257584021,764,2292,24673.44970879757,3138.3920899367145,0.0,0,0,0.0,3.6,3980.4061226226518,3527.4871264813432,452.91899614130887,86.49170883053627,306.65385940217027,296.6094907962336,5.746164175227473,59.32189815924673,237.28759263698691,158.5727746615947,67.54486824144178,30845.280114521913,0.0,17947829.101362593,0.0,322722.4680305556,180544.18260302336,0.3807248114086438,0.0,0.0014254069885872441,0.0,0.0014254069885872441,0.0,0.0884095134050285,0.0,0.004712041884816754,0.0,0.0,0.0,0,0.028302260742976527,0,0.056604521485953053,0,1.0,0.010731227501957718,0.0,0.007521157297418158,0,0.010731227501957718,0.0,0.010731227501957718,0.0,0,0.03574173016049294,0,0.036078904671726496,0,0.07148346032098588,0,0.07215780934345299,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.012021403342333379,0,0.012021403342333379,0,0.024042806684666757,0,1.0,0,0
54,23208431.052853193,57121.760814742,55351.414107606,471,1413,16926.219227291847,2295.16943301536,0.0,0,0,0.0,1.4,2709.283578145622,2409.0476670400767,300.23591110554486,50.08216096495897,200.54353827654433,200.93396132270385,3.7259545818419366,40.18679226454078,160.7471690581631,109.00765802733187,44.07414758430929,45157.874102089954,0.0,21507363.060639072,0.0,310731.41310074675,160923.09612956207,0.8158395739321261,0.0,0.0014177911382182839,0.0,0.0014177911382182839,0.0,0.0935756848923764,0.0,0.0029723991507430996,0.0,0.0,0.0,0,0.026582887985647015,0,0.05316577597129403,0,1.0,0.010183809680781294,0.0,0.007910731596267382,0,0.010183809680781294,0.0,0.010183809680781294,0.0,0,0.03558159732380942,0,0.032703022572836735,0,0.07116319464761885,0,0.06540604514567347,0,1.0,0,1.0,0.0,0.0,1.0,1.0,0,0.011871166184514366,0,0.011871166184514366,0,0.023742332369028733,0,1.0,0,0
