db_ondergrens,inwoners_vlaanderen,inwoners_brussel,aantal_woningen_vlaanderen,aantal_woningen_brussel,gemiddeld_aantal_inwoners_per_huis,onbebouwde_bebouwbare_percelen_vlaanderen,onbebouwde_bebouwbare_percelen_brussel,onbebouwde_onbebouwbare_percelen_vlaanderen,onbebouwde_onbebouwbare_percelen_brussel,bewoonde_niet_geïsoleerde_woning_vlaanderen,bewoonde_niet_geïsoleerde_woning_brussel,bewoonde_geïsoleerde_woning_vlaanderen,bewoonde_geïsoleerde_woning_brussel,nieuwe_woning_vlaanderen,nieuwe_woning_brussel,perceel_eigendom_overheid_vlaanderen,perceel_eigendom_overheid_brussel,woning_eigendom_overheid_vlaanderen,woning_eigendom_overheid_brussel
45,45987.0,105153.66777051588,17688.0,40445.30140093689,2.599898236092266,0.0,0.0,0.0,0.0,14150.400000000001,32356.241120749517,3537.6000000000004,8089.060280187379,0.0,0.0,0.0,0.0,0.0,0.0
46,28960.0,127964.97301749991,11714.0,51760.41760797631,2.4722554208639234,0.0,0.0,0.0,0.0,9371.2,41408.33408638105,2342.8,10352.083521595263,0.0,0.0,0.0,0.0,0.0,0.0
47,27769.0,94698.7940358428,10989.0,37475.06383592771,2.526981526981527,0.0,0.0,0.0,0.0,8791.2,29980.051068742167,2197.8,7495.012767185542,0.0,0.0,0.0,0.0,0.0,0.0
48,38500.0,111977.0555649709,12806.0,37246.186326364084,3.0064032484772762,0.0,0.0,0.0,0.0,10244.800000000001,29796.94906109127,2561.2000000000003,7449.237265272817,0.0,0.0,0.0,0.0,0.0,0.0
49,26406.0,103292.39042899715,9891.0,38690.63976873479,2.6696997270245677,0.0,0.0,0.0,0.0,7912.8,30952.511814987836,1978.2,7738.127953746959,0.0,0.0,0.0,0.0,0.0,0.0
50,35323.0,73998.63908375251,12064.0,25273.039716513045,2.9279675066313,0.0,0.0,0.0,0.0,9651.2,20218.43177321044,2412.8,5054.60794330261,0.0,0.0,0.0,0.0,0.0,0.0
51,25892.0,46161.30076199317,8936.0,15931.460822229683,2.897493285586392,0.0,0.0,0.0,0.0,7148.8,12745.168657783746,1787.2,3186.2921644459366,0.0,0.0,0.0,0.0,0.0,0.0
52,24298.0,38721.08120621734,8374.0,13344.733476864927,2.9016001910675904,0.0,0.0,0.0,0.0,6699.200000000001,10675.786781491943,1674.8000000000002,2668.9466953729857,0.0,0.0,0.0,0.0,0.0,0.0
53,35767.0,45254.07698530591,11579.0,14650.290978076358,3.0889541411175405,0.0,0.0,0.0,0.0,9263.2,11720.232782461087,2315.8,2930.058195615272,0.0,0.0,0.0,0.0,0.0,0.0
54,26418.0,28920.855101995723,8838.0,9675.31673069264,2.9891378139850646,0.0,0.0,0.0,0.0,7070.400000000001,7740.253384554113,1767.6000000000001,1935.0633461385282,0.0,0.0,0.0,0.0,0.0,0.0
