db_ondergrens,onbebouwde_bebouwbare_percelen,onbebouwde_onbebouwbare_percelen,bewoonde_niet_geïsoleerde_woning,bewoonde_geïsoleerde_woning,nieuwe_woning,perceel_eigendom_overheid,woning_eigendom_overheid,bebouwbare_percelen_woongebied(5jr),niet_bebouwbare_percelen_woongebied_schrapping(5jr),alle_transacties_percelen,alle_verkopen_onbebouwde_bebouwbare_percelen,alle_transacties_woningen,alle_verkopen_woningen,vergunde_wooneenheden_nieuwbouw,gem_wooneenheden_per_vergunning,vergunningen_kwetsbare_groep,renovatie_totaal,R+,R−,nieuwbouw_geïsoleerd,nieuwbouw_niet_geïsoleerd,potentieel_isoleerbare_woningen,inwoners_per_contour,prijs_onbebouwde_bebouwbare_percelen,prijs_onbebouwde_onbebouwbare_percelen,prijs_bewoonde_niet_geïsoleerde_woning,prijs_bewoonde_geïsoleerde_woning
40,0.0,0.0,36788.1689585175,9197.042239629374,0.0,0.0,0.0,0.2,2.4,0.0,0.0,0.0,0.0,0.0,0.9422874267589032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135191.78726308927,,,,
41,0.0,0.0,37420.12605472929,9355.031513682323,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.9422874267589032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126692.23044452132,,,,
42,0.0,0.0,30680.320896908277,7670.080224227069,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.9422874267589032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109696.73481014406,,,,
43,0.0,0.0,21023.12130820169,5255.780327050423,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.9422874267589032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76723.9504252047,,,,
44,0.0,0.0,20071.257367773873,5017.814341943468,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.9422874267589032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76091.94691530314,,,,
45,0.0,0.0,15141.804247664073,3785.4510619160183,0.0,0.0,0.0,0.0,3.8,924.0,924.0,294269.0,294269.0,188.69916086861232,0.9422874267589032,14.351928029669644,187798.88610751482,0.0,0.0,0.0,0.0,0.0,57438.85534550899,1865000.0,395410.76086956525,283157.5257350665,283157.5257350665
46,0.0,0.0,9948.48264123328,2487.12066030832,0.0,0.0,0.0,0.0,1.6,1357.0,1357.0,330123.0,330123.0,156.47350452484872,0.9422874267589032,7.942851900125499,121167.06197623852,0.0,0.0,0.0,0.0,0.0,36706.675222232945,1865000.0000000002,395410.76086956525,269596.265679018,269596.265679018
47,0.0,0.0,7141.663110484575,1785.4157776211437,0.0,0.0,0.0,0.2,2.8,1126.0,1126.0,300523.0,300523.0,163.47114552881297,0.9422874267589032,7.43988686816872,114550.05076617317,0.0,0.0,0.0,0.0,0.0,25892.191508358843,1865000.0000000002,395410.76086956525,261143.1732032437,261143.1732032437
48,0.0,0.0,3893.395422488502,973.3488556221255,0.0,0.0,0.0,0.2,1.2,1128.0,1128.0,367044.0,367044.0,185.45253236417093,0.9422874267589032,5.7924204207496,113279.36914152945,0.0,0.0,0.0,0.0,0.0,14216.450569325418,839387.3004666666,395410.76086956525,253425.9985755418,253425.9985755418
49,0.0,0.0,2850.8787320321553,712.7196830080388,0.0,0.0,0.0,0.2,0.6,946.0,946.0,323712.0,323712.0,151.65551553695363,0.9422874267589032,2.779503836087644,82462.87860073564,0.0,0.0,0.0,0.0,0.0,10435.137965766064,839387.3004666666,395410.76086956525,269134.1909171648,269134.1909171648
50,0.0,0.0,1926.8403168235186,481.71007920587965,0.0,0.0,0.0,0.0,0.4,637.0,637.0,294072.0,294072.0,173.98558106656031,0.9422874267589032,2.443812276452744,106215.84992754548,0.0,0.0,0.0,0.0,0.0,7475.180336172149,839387.3004666666,395410.76086956525,278161.7116511789,278161.7116511789
51,0.0,0.0,2001.2410613256748,500.3102653314187,0.0,0.0,0.0,0.2,1.4,486.0,486.0,240301.0,240301.0,161.37788082358506,0.9422874267589032,3.206179040460718,98286.14887578352,0.0,0.0,0.0,0.0,0.0,7178.599967140366,839387.3004666666,395410.76086956525,288730.52199407393,288730.52199407393
52,0.0,0.0,2646.3076787007376,661.5769196751844,0.0,0.0,0.0,0.6,1.4,434.0,434.0,232153.0,232153.0,123.68807116805205,0.9422874267589032,2.7722852513925273,77988.51536047063,0.0,0.0,0.0,0.0,0.0,9595.668627322697,839387.3004666666,395410.76086956525,307003.3246386134,307003.3246386134
53,0.0,0.0,1626.0950331454494,406.52375828636235,0.0,0.0,0.0,0.8,2.4,335.0,335.0,194258.0,194258.0,207.33903254012137,0.9422874267589032,8.400192849339108,139449.2655509484,0.0,0.0,0.0,0.0,0.0,5960.411563220056,839387.3004666666,395410.76086956525,317556.1915557586,317556.1915557586
54,0.0,0.0,1193.355164776378,298.3387911940945,0.0,0.0,0.0,0.4,1.4,202.0,202.0,109779.0,109779.0,182.7967816237657,0.9422874267589032,6.481695085033948,104773.64517082843,0.0,0.0,0.0,0.0,0.0,4503.572611954509,839387.3004666666,395410.76086956525,295510.5344433685,295510.5344433685
55,0.0,0.0,824.8000000000001,206.20000000000002,0.0,0.0,0.0,0.4,1.8,147.0,147.0,65694.0,65694.0,150.10817003557366,0.9422874267589032,4.776757974094916,72908.54680119027,0.0,0.0,0.0,0.0,0.0,3283.0,839387.3004666666,395410.76086956525,267670.3903634844,267670.3903634844
56,0.0,0.0,452.0,113.0,0.0,0.0,0.0,0.4,0.6,122.0,122.0,42620.0,42620.0,100.57943750199516,0.9422874267589032,2.9869550518723367,50732.76530014526,0.0,0.0,0.0,0.0,0.0,1509.0,839387.3004666666,395410.76086956525,252660.6891762484,252660.6891762484
57,0.0,0.0,149.6,37.4,0.0,0.0,0.0,0.0,0.6,80.0,80.0,28670.0,28670.0,39.738765014057314,0.9422874267589032,1.089014137445386,39473.352911950526,0.0,0.0,0.0,0.0,0.0,408.0,839387.3004666666,395410.76086956525,255914.9453658392,255914.9453658392
58,0.0,0.0,89.60000000000001,22.400000000000002,0.0,0.0,0.0,0.0,0.2,14.0,14.0,4827.0,4827.0,27.742277505865545,0.9422874267589032,0.7859856243958074,30143.011541743548,0.0,0.0,0.0,0.0,0.0,225.0,839387.3004666666,395410.76086956525,276891.0829482531,276891.0829482531
59,0.0,0.0,46.400000000000006,11.600000000000001,0.0,0.0,0.0,0.0,0.0,4.0,4.0,2049.0,2049.0,24.152829343206413,0.9422874267589032,0.5961463362526496,30222.541161983398,0.0,0.0,0.0,0.0,0.0,121.0,839387.3004666666,395410.76086956525,302253.01363602065,302253.01363602065
60,0.0,0.0,72.8,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1386.0,1386.0,33.80029402346668,0.9422874267589032,1.13982656730177,34862.307154253554,0.0,0.0,0.0,0.0,0.0,181.0,839387.3004666666,395410.76086956525,302362.74861471873,302362.74861471873
61,0.0,0.0,38.400000000000006,9.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1155.0,1155.0,21.963106809750165,0.9422874267589032,0.6452198492782242,28074.94610185215,0.0,0.0,0.0,0.0,0.0,99.0,839387.3004666666,395410.76086956525,302362.7486147186,302362.7486147186
62,0.0,0.0,52.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924.0,924.0,15.83349157033346,0.9422874267589032,0.4008911492715953,23579.499070897877,0.0,0.0,0.0,0.0,0.0,144.0,839387.3004666666,395410.76086956525,302362.7486147186,302362.7486147186
