db_ondergrens,inwoners_vlaanderen,inwoners_brussel,aantal_woningen_vlaanderen,aantal_woningen_brussel,gemiddeld_aantal_inwoners_per_huis,onbebouwde_bebouwbare_percelen_vlaanderen,onbebouwde_bebouwbare_percelen_brussel,onbebouwde_onbebouwbare_percelen_vlaanderen,onbebouwde_onbebouwbare_percelen_brussel,bewoonde_niet_geïsoleerde_woning_vlaanderen,bewoonde_niet_geïsoleerde_woning_brussel,bewoonde_geïsoleerde_woning_vlaanderen,bewoonde_geïsoleerde_woning_brussel,nieuwe_woning_vlaanderen,nieuwe_woning_brussel,perceel_eigendom_overheid_vlaanderen,perceel_eigendom_overheid_brussel,woning_eigendom_overheid_vlaanderen,woning_eigendom_overheid_brussel
40,35414.0,99777.78726308925,12046.0,33939.21119814687,2.93989706126515,0.0,0.0,0.0,0.0,9636.800000000001,27151.368958517498,2409.2000000000003,6787.8422396293745,0.0,0.0,0.0,0.0,0.0,0.0
41,31633.0,95059.23044452132,11679.0,35096.15756841161,2.708536689785084,0.0,0.0,0.0,0.0,9343.2,28076.92605472929,2335.8,7019.231513682323,0.0,0.0,0.0,0.0,0.0,0.0
42,32185.0,77511.73481014406,11252.0,27098.401121135343,2.8603803768218983,0.0,0.0,0.0,0.0,9001.6,21678.720896908275,2250.4,5419.680224227069,0.0,0.0,0.0,0.0,0.0,0.0
43,25275.0,51448.95042520471,8657.0,17621.901635252114,2.919602633706827,0.0,0.0,0.0,0.0,6925.6,14097.521308201693,1731.4,3524.380327050423,0.0,0.0,0.0,0.0,0.0,0.0
44,29155.0,46936.94691530314,9613.0,15476.07170971734,3.032872152293769,0.0,0.0,0.0,0.0,7690.400000000001,12380.857367773873,1922.6000000000001,3095.2143419434683,0.0,0.0,0.0,0.0,0.0,0.0
45,33567.0,23871.855345508993,11061.0,7866.255309580092,3.034716571738541,0.0,0.0,0.0,0.0,8848.800000000001,6293.004247664074,2212.2000000000003,1573.2510619160184,0.0,0.0,0.0,0.0,0.0,0.0
46,23487.0,13219.675222232945,7957.0,4478.603301541599,2.9517406057559383,0.0,0.0,0.0,0.0,6365.6,3582.882641233279,1591.4,895.7206603083198,0.0,0.0,0.0,0.0,0.0,0.0
47,15552.0,10340.191508358843,5362.0,3565.0788881057174,2.900410294666169,0.0,0.0,0.0,0.0,4289.6,2852.0631104845743,1072.4,713.0157776211436,0.0,0.0,0.0,0.0,0.0,0.0
48,10335.0,3881.4505693254187,3538.0,1328.744278110627,2.9211418880723574,0.0,0.0,0.0,0.0,2830.4,1062.9954224885016,707.6,265.7488556221254,0.0,0.0,0.0,0.0,0.0,0.0
49,8694.0,1741.1379657660643,2969.0,594.5984150401938,2.9282586729538567,0.0,0.0,0.0,0.0,2375.2000000000003,475.67873203215504,593.8000000000001,118.91968300803876,0.0,0.0,0.0,0.0,0.0,0.0
50,6291.0,1184.1803361721481,2027.0,381.55039602939826,3.1036013813517513,0.0,0.0,0.0,0.0,1621.6000000000001,305.24031682351864,405.40000000000003,76.31007920587966,0.0,0.0,0.0,0.0,0.0,0.0
51,5306.0,1872.5999671403658,1849.0,652.5513266570931,2.8696592752839374,0.0,0.0,0.0,0.0,1479.2,522.0410613256745,369.8,130.51026533141862,0.0,0.0,0.0,0.0,0.0,0.0
52,6846.0,2749.6686273226965,2360.0,947.8845983759222,2.9008474576271186,0.0,0.0,0.0,0.0,1888.0,758.3076787007378,472.0,189.57691967518446,0.0,0.0,0.0,0.0,0.0,0.0
53,5334.0,626.4115632200566,1819.0,213.61879143181156,2.9323804288070368,0.0,0.0,0.0,0.0,1455.2,170.89503314544925,363.8,42.72375828636231,0.0,0.0,0.0,0.0,0.0,0.0
54,4426.0,77.57261195450916,1466.0,25.693955970472306,3.019099590723056,0.0,0.0,0.0,0.0,1172.8,20.555164776377847,293.2,5.138791194094462,0.0,0.0,0.0,0.0,0.0,0.0
55,3283.0,0.0,1031.0,0.0,3.1842870999030066,0.0,0.0,0.0,0.0,824.8000000000001,0.0,206.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1509.0,0.0,565.0,0.0,2.6707964601769913,0.0,0.0,0.0,0.0,452.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,408.0,0.0,187.0,0.0,2.1818181818181817,0.0,0.0,0.0,0.0,149.6,0.0,37.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,225.0,0.0,112.0,0.0,2.0089285714285716,0.0,0.0,0.0,0.0,89.60000000000001,0.0,22.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
