measure_id,naam_mooi,help,hidden_in_ui,group_id
aankoopbeleid_geïsoleerde_woningen,Aankoopbeleid geïsoleerde woningen,"### Uitleg
Hierbij worden woningen opgekocht wanneer deze publiek beschikbaar zijn op de markt.

### Beoogd effect
Doordat er woningen worden opgekocht, wordt er vermeden dat er inwoners zich vestigen op een plaats waar er veel geluidshinder is.

### Type maatregel
aantal gehinderde personen verminderen",False,
aankoopbeleid_niet_geïsoleerde_woningen,Aankoopbeleid niet-geïsoleerde woningen,"### Uitleg
Hierbij worden woningen opgekocht wanneer deze publiek beschikbaar zijn op de markt.

### Beoogd effect
Doordat er woningen worden opgekocht, wordt er vermeden dat er inwoners zich vestigen op een plaats waar er veel geluidshinder is.

### Type maatregel
aantal gehinderde personen verminderen",False,
aankoopbeleid_percelen,Aankoopbeleid van percelen,"### Uitleg
Hierbij worden onbebouwde percelen opgekocht wanneer deze publiek beschikbaar zijn op de markt.

### Beoogd effect
Doordat er bebouwbare percelen worden opgekocht, wordt vermeden dat er meer gebouwd wordt.

### Type maatregel
bijkomende gehinderde personen vermijden",False,
aanleg_geluidsbuffers,Aanleg van geluidsbuffers,"### Praktische info
- **Instrument:** geen instrument voor nodig
- **Investeringskost:** kost van geluidsbuffers
- **Administratieve kost:** -
- **Te betalen uit stock:** aanleggeluidsbuffers",False,
compensatie_buitenzone,Compensatie voor de buitenzone,"### Praktische info
- **Instrument:** geen instrument voor nodig
- **Investeringskost:** kost van compensatie
- **Administratieve kost:** -
- **Te betalen uit stock:** betalen voor elke woning",False,
compensatie_verhuis,Compensatie voor de verhuis,"### Praktische info
- **Instrument:** geen instrument voor nodig
- **Investeringskost:** kost van compensatie
- **Administratieve kost:** -
- **Te betalen uit stock:** betalen voor elke verhuis",False,
gestuurd_isolatieprogramma,Gestuurd isolatieprogramma,"### Uitleg
Akoestische isolaties worden gesubsidieerd en er wordt een aannemer aangesteld die straat per straat dit aanpakt.

### Beoogd effect
Doordat er geïsoleerd wordt, wordt het akoestisch binnencomfort verbeterd.

### Type maatregel
akoestisch binnencomfort verbeteren",False,
gesubsidieerd_isolatieprogramma,Gesubsidieerd isolatieprogramma,"### Uitleg
Akoestische isolaties worden gesubsidieerd.

### Beoogd effect
Doordat er geïsoleerd wordt, wordt het akoestisch binnencomfort verbeterd.

### Type maatregel
akoestisch binnencomfort verbeteren",False,
isolatievoorschriften_nieuwbouw_naar_geïsoleerde_woning,Isolatievoorschriften nieuwbouw naar geïsoleerde woning,"### Uitleg
Bij het bouwen van een nieuwe woning zijn akoestische isolatievoorschriften opgelegd.

### Beoogd effect
Doordat er geïsoleerd wordt, wordt het akoestisch binnencomfort verbeterd.

### Type maatregel
akoestisch binnencomfort verbeteren",False,isolatie_nieuwbouw
isolatievoorschriften_nieuwbouw_naar_niet_geïsoleerde_woning,Isolatievoorschriften nieuwbouw naar niet-geïsoleerde woning,"### Praktische info
- **Instrument:** Gewestelijk GRUP/stedenbouwkundige verordening
- **Investeringskost:** isolatiekosten voor de bouwheer
- **Administratieve kost:** monitoring via as built
- **Te betalen uit stock:** -",False,isolatie_nieuwbouw
